ResourceID,Full Address,Address Type,Building Name,Building Number (Sub-Street),Sub-Street,Building Number (Street),Street,Locality,Town,County,Country,Postcode
4a58e805-010f-4790-8bea-6c80404cddc4,"Chelsea House, Westgate, London, W5 1DR",Primary,Chelsea House,,,,Westgate,,London,,,W5 1DR
4a9d7e1e-fdf7-4a4b-9aba-e6c473823ba1,"Colin Sanders Innovation Centre, Mewburn Road, Banbury, Oxfordshire, OX16 9PA",Primary,Colin Sanders Innovation Centre,,,,Mewburn Road,,Banbury,Oxfordshire,,OX16 9PA
4aa34b47-e7ed-4cd8-90e6-21c03a279c10,"250  York Road, Battersea, London, SW11 3SJ",Primary,,,,250 ,York Road,Battersea,London,,,SW11 3SJ
4ab08bbb-29c0-417e-a4b4-a4b44382931c,"Miltons Yard, Petworth Road, Witley, Godalming, Surrey, GU8 5LH",Primary,,,Miltons Yard,,Petworth Road,Witley,Godalming,Surrey,,GU8 5LH
4ac2077e-7084-4551-9948-13eca9ff6562,"Southwark Cathedral, London Bridge, London, SE1 9DA",Primary,Southwark Cathedral,,,,London Bridge,,London,,,SE1 9DA
4acfa1ab-48c0-4ad6-b776-b83565a7d86e,"35 (4) Clarendon Square, Royal Leamington Spa, Warwickshire, CV32 5QY",Primary,,,,35 (4),Clarendon Square,,Royal Leamington Spa,Warwickshire,,CV32 5QY
4af17d7c-3ac3-4c1d-965e-84e049a12bf8,"Mermaid Conference Centre, 2  Puddle Dock, Blackfriars, London, EC4V 3DB",Primary,Mermaid Conference Centre,,,2 ,Puddle Dock,Blackfriars,London,,,EC4V 3DB
4b0074e6-e847-46c6-b79b-01672c161bed,"1 Silk Street, London, EC2Y 8HQ",Primary,,,,1,Silk Street,,London,,,EC2Y 8HQ
4b014931-fd25-4e50-b6ac-25e4e501062a,"Grosvenor House, 1  St Mary's Street, Worcester, Worcestershire, WR1 1HA",Primary,Grosvenor House,,,1 ,St Mary's Street,,Worcester,Worcestershire,,WR1 1HA
4b7d07fc-7a18-4653-bdd2-e4c43138b25f,"49a Cicada Road, London, SW18 2NN",Primary,,,,49a,Cicada Road,,London,,,SW18 2NN
4ba85734-5b2c-45c7-8135-9f3e9e56faca,"22 Gordon Street, London, WC1H 0QB",Primary,,,,22,Gordon Street,,London,,,WC1H 0QB
4bf6e247-f4dc-465b-b4de-6e27e2035ece,"2 Anglo Office Park, 67 White Lion Road, Amersham, Buckingham, HP7 9FB",Primary,,2,Anglo Office Park,67,White Lion Road,,Amersham,Buckingham,,HP7 9FB
4c338e03-5079-43d1-b264-4f3cdaecd683,"25th Floor, 1 Canada Square, Canary Wharf, London, E14 5AB",Primary,25th Floor,,,1,Canada Square,Canary Wharf,London,,,E14 5AB
4c417c36-7b91-41f6-8c51-011dc3cb1658,"Argyle House, Joel Street, Northwood Hills, Northwood, HA6 1LN",Primary,Argyle House,,,,Joel Street,Northwood Hills,Northwood,,,HA6 1LN
4c8929fa-bb6c-4d23-a511-fb089e46afda,"2  Westway Close, Castle Combe, Wiltshire, SN14 7QZ",Primary,,,,2 ,Westway Close,,Castle Combe,Wiltshire,,SN14 7QZ
4ca00268-64aa-4c94-be80-51ede65d62e8,"16 Blacklands Way, Abingdon Business Park, Abingdon, Oxfordshire, OX14 1DY",Primary,,,,16,Blacklands Way,Abingdon Business Park,Abingdon,Oxfordshire,,OX14 1DY
4cc8e6b9-2f7e-456f-8cc2-a9feefab97d4,"22  Rupert Street, London, W1V 7FN",Primary,,,,22 ,Rupert Street,,London,,,W1V 7FN
4ced7fcb-a344-43e5-b586-df27860da0f0,"Carlton House, Carlton Terrace, Brighton, East Sussex, BN41 1UR",Primary,Carlton House,,,,Carlton Terrace,,Brighton,East Sussex,,BN41 1UR
4cfa6103-3eac-40c1-9abd-3a6c203a644a,"Room 340 420 Lexington Avenue, New York, USA, NY 10170",Primary,,Room 340,,420,Lexington Avenue,,New York,,United States of America,NY 10170
4e4e37bf-336a-40da-ace0-917eb76bc796,"Clearview House, 201  Pinner Road, Northwood, HA6 1BZ",Primary,Clearview House,,,201 ,Pinner Road,,Northwood,,,HA6 1BZ
4e6c714a-94dc-42bb-b2c0-9f5d8e6817b5,"The Lodge, Station Road, Chinnor, Oxfordshire, OX39 4HA",Primary,The Lodge,,,,Station Road,,Chinnor,Oxfordshire,,OX39 4HA
4ef98812-4291-4a41-b5ed-c03d640891ad,"5  Harvest Bank Road, West Wickham, BR4 9DL",Primary,,,,5 ,Harvest Bank Road,,West Wickham,,,BR4 9DL
4efe0c8c-5b9f-4acb-bb26-b2dee64c83fa,"Portland House, Bickenhill Lane, Solihull, Birmingham, B37 7BQ",Primary,Portland House,,,,Bickenhill Lane,Solihull,Birmingham,,,B37 7BQ
4efedb63-8602-42c5-82ef-d88ed1fc126c,"Somerset House South Building, Strand, London, WC2R 1LA",Primary,Somerset House South Building,,,,Strand,,London,,,WC2R 1LA
4f02bf39-9c85-4ed6-b79d-28563caf37d7,"Units 1 & 2, 2 Chapel Place, Portslade, Brighton, 
East Sussex, BN41 1DR",Primary,Units 1 & 2,,,2,Chapel Place,Portslade,Brighton,"
East Sussex",,BN41 1DR
