ResourceID,Event Type
04f59888-c2dc-423e-8903-42153dc9b41b,Desk Based Assessment
04fadba1-405e-4593-9bd8-fab9e922ff82,Desk Based Assessment
04fe5f49-ce93-48eb-be4e-396344419031,Trial Trench
050be329-fe9d-49f8-b4ea-4730768bdcec,Excavation
050fd008-3d68-4ce4-b54e-2eb5a27cb0f1,Trial Trench
0513ab52-fc1a-46df-bbe0-7c789e8a0a9c,Trial Trench
05150f59-bd4c-4e2b-b23e-8f9cbba5f295,Desk Based Assessment
051f6208-b080-4464-9d62-63812f18ed13,Watching Brief
052ecb90-1e2f-4fc6-9e78-91c184a8b1cf,Desk Based Assessment
0538f4c0-2ba7-4210-9062-0285e7a46698,Desk Based Assessment
053a3752-58dc-4137-ae5c-9952a09e6cfd,Trial Trench
053df641-4f8f-442d-97a2-ad59fa7d2f2e,Watching Brief
0542b95c-002a-4a76-b0f1-2a80a387007f,Open Area Excavation
0542b95c-002a-4a76-b0f1-2a80a387007f,Trial Trench
05475d63-2100-485e-9573-9fc0939d4c95,Open Area Excavation
054a85fb-393c-4b8c-bd13-9ad7a3f2bbda,Trial Trench
054b30ba-3366-4c8c-8068-3e071915b720,Excavation
054ba3ca-2c9b-4f9e-945c-2f727f65de92,Watching Brief
05579c5d-99d4-4734-86be-97b07cd9b5ba,Watching Brief
0558bb27-d0d9-40e1-a0a8-1bb899cf1999,Desk Based Assessment
0558bb27-d0d9-40e1-a0a8-1bb899cf1999,Desk Based Assessment
056313a2-8895-4aae-af5d-eadb05da32ca,Open Area Excavation
0568a85e-c22d-4789-923e-7c6241616f76,Test Pit
05777025-af03-4362-90d8-580ace052abf,Watching Brief
05784947-34db-4831-a076-a59faddf31c5,Trial Trench
05793f24-1663-472c-9f00-3a3f7b11cfcc,Desk Based Assessment
057dbc81-1425-4cb2-a4fe-88cfc9c78697,Desk Based Assessment
05846b6d-9c23-4a81-9c77-b502da884a2b,Desk Based Assessment
05861a34-6a49-4daf-8435-e678c42fa72a,Casual Observation
058c419c-08e0-40ea-90da-b77de1ab005b,Trial Trench
05977fa3-1cbf-4894-9797-71a6145f514f,Excavation
059a2647-5bb1-4c3e-98e7-f84d39169b7b,Watching Brief
05a132fd-a8d9-471e-aef1-2728eb3ca8b3,Excavation
05a2ab1e-5003-4eea-a635-201395f6de62,Desk Based Assessment
05a5fbaa-070f-4287-a0f1-f3c0eda08cf3,Watching Brief
05a5fbaa-070f-4287-a0f1-f3c0eda08cf3,Test Pit
05adab1e-2b8c-4ca2-90a6-1be66ba90d42,Watching Brief
05adab1e-2b8c-4ca2-90a6-1be66ba90d42,Excavation
05bc1aa9-e38b-408c-a6a1-dd6acd465132,Trial Trench
05d015c0-a80b-41fc-a632-4e1d8e05e525,Watching Brief
05d06e59-c9a4-440c-a67d-f457c1593d08,Desk Based Assessment
05df7d0a-8aae-4dec-90d5-f0c36354248d,Evaluation
05dfc0d2-0714-4290-a5b8-a71528172c46,Trial Trench
05e8540b-2481-4e80-976f-47cc929f842f,Watching Brief
05e9a768-b8da-4d53-8508-82946024f293,Open Area Excavation
05ef73ba-c43e-4b97-a780-b99e74c2448a,Trial Trench
05f09401-d0f9-432b-b08c-10559bfdca51,Watching Brief
05f09401-d0f9-432b-b08c-10559bfdca51,Trial Trench
05f966c2-3f86-45d1-a630-47f78f94ef78,Watching Brief
05fe7cb1-0da0-41fb-990f-a1dc4ad9e3fc,Desk Based Assessment
05ff8631-8284-433b-8f29-06f2297a2a09,Building Survey
0609b43d-0b8b-4d56-b7d8-93e5589db7a2,Trial Trench
061888fe-9402-4afc-91c4-cd895a4d20cc,Casual Observation
061aad33-5457-4edf-a3ff-6b57856b560f,Desk Based Assessment
061b6a36-251c-4c5b-a2f6-643d9957f97b,Trial Trench
061bd779-a501-4c12-b180-c85888a38ef7,Building Survey
06238191-72b7-4111-adc9-2a9c4b37facc,Watching Brief
06300d28-328b-488b-8df7-e953b6e0d5d2,Open Area Excavation
06300d28-328b-488b-8df7-e953b6e0d5d2,Test Pit
06312f71-a6e7-4ca1-a1f1-f92ce56babae,Watching Brief
064041e5-b7c2-40ba-b420-b4f37d8d69dc,Trial Trench
06518f58-a66f-46b2-9d60-9acd0086722c,Desk Based Assessment
06519720-a1ce-44b4-92b6-a98edb74816d,Excavation
065c4c6b-2770-40aa-af59-97de7f5be561,Open Area Excavation
065ed918-d7b3-49cd-8800-af5a385e03ea,Watching Brief
065f4e41-8ca1-411d-8b09-bb1ce4213a26,Field Observation (Monitoring)
0662cf15-0868-4272-8292-7dcd74221d77,Watching Brief
06682396-980a-452c-b2fa-86effe52cd80,Desk Based Assessment
0669a197-b9eb-4786-9791-d38c42df2d01,Geotechnical Survey
066a6570-c880-4f8a-957f-fb439d094576,Desk Based Assessment
067cd407-9e44-4a80-8a30-23a07b41b3c2,Casual Observation
067cfa94-3575-4b33-928a-4719178123ce,Watching Brief
067eb3f6-2fb7-4c8a-b0ed-2d330195250c,Watching Brief
