ResourceID,Location Description,Location Description Type
06ed9d14-7948-4d5d-82a6-3de9a68bf1da,"Old Fold Lane, Barnet, EN5",Primary
06eecb79-6588-462a-afd5-ce9397db66d3,"Warwick Avenue, Rainham, Havering",Primary
06f83213-74e1-4907-82a5-91e2e6b16472,"Edward Street, SE14",Primary
07123a67-7483-485d-9b2f-0cce1f772fc5,Arkwright Road,Primary
072acc44-0299-4ba3-84f4-b9ad768cda7a,"George Beard Road, Deptford, Lewisham",Primary
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Grinstead Road, Deptford, Lewisham",Primary
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Grove Street South, Deptford, Lewisham",Primary
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Capstan Road, Deptford, Lewisham",Primary
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Edward Street, Deptford, Lewisham",Primary
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Sanford Street, Deptford, Lewisham",Primary
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Milton Court Road, Deptford, Lewisham",Primary
07342d41-7d90-4f48-ab4f-db564a0ef930,"Horse Guards Road, Whitehall, Westminster",Primary
07342d41-7d90-4f48-ab4f-db564a0ef930,"Great George Street, Whitehall, Westminster",Primary
07342d41-7d90-4f48-ab4f-db564a0ef930,"Parliament Street, Whitehall, Westminster",Primary
07342d41-7d90-4f48-ab4f-db564a0ef930,"King Charles Street, Whitehall, Westminster",Primary
07342d41-7d90-4f48-ab4f-db564a0ef930,"Derby Gate, Whitehall, Westminster",Primary
07342d41-7d90-4f48-ab4f-db564a0ef930,"Whitehall, Westminster",Primary
07342d41-7d90-4f48-ab4f-db564a0ef930,"Horse Guards Avenue, Whitehall, Westminster",Primary
07342d41-7d90-4f48-ab4f-db564a0ef930,"Whitehall Place, Whitehall, Westminster",Primary
07342d41-7d90-4f48-ab4f-db564a0ef930,"Great Scotland Yard, Whitehall, Westminster",Primary
07410fd0-47e4-47a4-aafe-f9f47438c044,"Heathrow Airport, World Cargo Site, Hillingdon",Primary
0745d824-5f1c-4071-8773-04c08a7a4c5a,"Former Flexiworks Site, Flempton Road, Waltham Forest, E10",Primary
074c63a5-779b-4f67-a8c6-48a2c3cb447c,"Wadham Avenue, Walthamstow, Waltham Forest, E17 4HS",Primary
074fbbbb-5c09-4d14-a5a2-80f36b22dea9,"Bayswater Road, Hyde Park",Primary
075b7124-19d1-4ffe-a391-972e8cbc461e,"Public park, Wanstead Park, Wanstead, Redbridge, E11",Primary
0760934d-3905-4282-9565-e3f84e798b58,"Horsemongers Mews, Southwark, SE1",Primary
078784bf-2685-4fab-8032-6da0dd42b624,"Chelsea Bridge, River Thames",Primary
0794efca-f056-486f-a570-f4217a4e8aae,"Land At, Sylverdale Road, Croydon",Primary
07a3803c-74a6-460a-8142-05de7bae453f,"Camley Street, Camden",Primary
07a3e869-8250-4431-bc8a-e223bc0feac9,"The Royal Opera House car park, Bow Street, Westminster, WC2",Primary
07d9f061-924b-4371-8d23-5c3fa574e0f4,Kennington Lane,Primary
07e52943-a30a-42e9-8302-cb80fb30ab22,Dewes Farm,Primary
07f2e18d-1283-4c5e-a186-02aac2b737f9,"Willow Walk, Bermondsey, Southwark, SE1",Primary
07f2e18d-1283-4c5e-a186-02aac2b737f9,"Buttermere Close, Southwark, SE1",Primary
07f2e18d-1283-4c5e-a186-02aac2b737f9,"Sechell Road, Southwark, SE1",Primary
08001d79-691d-4390-8f85-9b5bc29cafb2,"Great West Road, Hounslow, TW8 0QY",Primary
080d3daf-1294-447a-9d19-9a828abf4d01,"Becketts Wharf, Becketts Place, Hampton Wick",Primary
082f564f-7baf-427d-84ef-361f62b6ef7f,Beddington Lane,Primary
0836b27d-3fa1-4d6b-b5f9-b4cb9f55b31e,"Beaumont Road Estate, Leyton, Waltham Forest, E10",Primary
0842f59b-137a-41b5-8b77-0741097df0cd,"Chalk Lane, EN4",Primary
084f8a5c-ca7c-411a-b4be-0841c25b821f,"Bryanston Street, Edgeware Road, Westminster",Primary
085162b7-01af-4424-9395-ca8c026efaf5,"Camley Street, Camden",Primary
085d66f8-0f51-43f6-b173-e7c63d611d0a,"Repository Road, Woolwich, SE18",Primary
08836667-956a-49d4-8a75-29dcc7b2fc7b,"Hilldene Close, Harold Hill, Havering",Primary
08836667-956a-49d4-8a75-29dcc7b2fc7b,"Bridgewater Road, Harold Hill, Havering",Primary
08836667-956a-49d4-8a75-29dcc7b2fc7b,"Darlington Gardens, Harold Hill, Havering",Primary
08836667-956a-49d4-8a75-29dcc7b2fc7b,"Northallerton Way, Harold Hill, Havering",Primary
08836667-956a-49d4-8a75-29dcc7b2fc7b,"Hilldene Avenue, Harold Hill, Havering",Primary
089c9721-cd9a-48d7-9c34-ecd208252083,"Lower Thames Street, EC3",Primary
08a9392d-912f-40af-ad6b-a5911342106a,"Burnside Road, Chadwell Heath, Dagenham, RM",Primary
08aa7ade-2ada-4c48-a4f6-c5b199af2823,"Beech Street, City of London, EC2",Primary
08aa7ade-2ada-4c48-a4f6-c5b199af2823,"Gresham Street, City of London, EC2",Primary
08adc9c0-aba8-4766-a780-0d4608c133a6,"Longford Bridge Car Park, Heathrow Airport, Northern Perimeter Road, Hillingdon, TW6",Primary
08adc9c0-aba8-4766-a780-0d4608c133a6,"Longford Bridge Car Park, Heathrow Airport, Western Perimeter Road, Hillingdon, TW6",Primary
08adc9c0-aba8-4766-a780-0d4608c133a6,"Longford Bridge Car Park, Heathrow Airport, Bath Road, Hillingdon, TW6",Primary
08b85bc3-199c-4169-ae0b-231a199859bb,"Meadow Row, Southwark, SE1 6PQ",Primary
08bcb9be-2f90-45e7-adf1-df086d9a4741,Church Farm Museum,Primary
08c1c5ec-d25e-4782-b633-6da81e23edf9,"Thames Foreshore, Customs House, City of London",Primary
08dc5136-d555-471e-a557-b5b7f7a0d421,"Queenhithe, EC4",Primary
08dce252-d88f-49b7-a411-38a02139d2d2,"Frendsbury Road, [Barlings House], Honor Oak, Lewisham",Primary
08ff4f2f-64ab-447f-bc74-17f631f90a81,"Woodberry Grove, Stamford Hill, Hackney, N4",Primary
08ff56a1-8c5b-4212-9988-8273c1f53480,"Hermon Hill, Wanstead, E11",Primary
09119ef7-b897-4961-9d12-86df8981a3b9,"Blomfield Street, City of London, EC2",Primary
09119ef7-b897-4961-9d12-86df8981a3b9,"London Wall, City of London, EC2",Primary
093029ac-1581-4510-96ab-0f51424cb101,"Ferry Lane Wharf, Ferry Lane, Haringey, N17",Primary
09356f10-c3bc-4b31-a981-54e904057abb,"Southwark Park Road, SE1",Primary
094addf3-5eeb-425c-b768-d4567a922911,"Holwood Hill, Keston",Primary
094cd207-e044-4b1d-8c74-a4c7192fa922,Albert Embankment,Primary
0950474f-2a90-480e-a90a-aab9c28d8de4,Limpsfield Road,Primary
09538b4b-3851-464d-87e1-8e6993dec41d,"Olympic Planning Delivery Zone 4, E15",Primary
095f1711-e7dd-4560-a273-6b3e12fed5f8,"Highbridge Industrial Estate, Oxford Road, Uxbridge, Hillingdon, UB8",Primary
096457df-f503-4184-9959-6ca0c1b12e35,Bromley and Croydon AP Pilot Project,Primary
09794b70-21e4-40d4-bd4d-0a71f3f6f304,Keston Common (south side),Primary
0983fdfd-96d7-4f25-a213-7a69bc870b60,"Crabtree Manorway North, Belvedere, Bexley",Primary
09848458-62b6-453f-8d8b-9b1776ab4d26,"Bush Lane, City of London, EC4",Primary
098a2d25-483d-42ee-a6cd-5057b77c85f3,Streatham High Road,Primary
098a2d25-483d-42ee-a6cd-5057b77c85f3,Hermitage Bridge (Primary Name),Primary
0991d008-f3c3-4d2e-894d-32205135aac6,"Lodge Lane, Kent Gate Way (junction) (land adjacent)",Primary
099c9ee0-5901-44ea-a8ce-c9b79a5d5c60,"Liverpool Street, City of London, EC2",Primary
09a8cc56-738d-443d-901e-b2841a70247d,"Greenwich Park, Maze Hill, Greenwich",Primary
09c38ee6-d8b3-41a0-8297-adc4dfd14cb2,Streatham High Road,Primary
09c38ee6-d8b3-41a0-8297-adc4dfd14cb2,Danbrook Road,Primary
09db5e68-ddef-4cff-add6-3742730b8597,"Belverdere Place, The Borough, Southwark",Primary
0a1cae66-47da-4f25-9a39-096c0d701813,Belvedere Road,Primary
0a22345a-da16-4c16-bb9e-34ba3e8faeed,"Butter Hill, Wallington, Sutton",Primary
0a22345a-da16-4c16-bb9e-34ba3e8faeed,"Mill Lane, Wallington, Sutton",Primary
0a26b44a-aa1e-48d9-bce5-4894de6daf60,"Crown Street, Dagenham, Barking & Dagenham",Primary
0a27128b-c1c3-4ff3-901a-37efd37ebf35,"Fisher Street, WC1",Primary
0a27128b-c1c3-4ff3-901a-37efd37ebf35,"Catton Street, WC1",Primary
0a2b1f10-ace1-40aa-be62-3f38f66f25e7,"Bankside, Southwark, SE1",Primary
0a2e1ab5-f5fb-44cc-a859-a9846c4b4ada,Hampton Court Pavilion (c 300 Yards Above Thames Bank),Primary
0a2e3ff5-4729-40ce-aa4f-8e7283686ef5,Palm Avenue,Primary
