ResourceID,External Cross Reference Source,External Cross Reference Number
06238191-72b7-4111-adc9-2a9c4b37facc,OASIS ID,preconst3-265816
06300d28-328b-488b-8df7-e953b6e0d5d2,Site Code,UNE03
06312f71-a6e7-4ca1-a1f1-f92ce56babae,Site Code,LHL97
064041e5-b7c2-40ba-b420-b4f37d8d69dc,Site Code,IMW97
06519720-a1ce-44b4-92b6-a98edb74816d,Site Code,GT88
065c4c6b-2770-40aa-af59-97de7f5be561,Site Code,WBX04
065c4c6b-2770-40aa-af59-97de7f5be561,OASIS ID,preconst1-5443
065ed918-d7b3-49cd-8800-af5a385e03ea,Site Code,GM58
065f4e41-8ca1-411d-8b09-bb1ce4213a26,Site Code,GH67
0662cf15-0868-4272-8292-7dcd74221d77,Site Code,OLO06
0662cf15-0868-4272-8292-7dcd74221d77,OASIS ID,preconst1-33158
0669a197-b9eb-4786-9791-d38c42df2d01,Site Code,HYO08
067cfa94-3575-4b33-928a-4719178123ce,Site Code,HCC93
067eb3f6-2fb7-4c8a-b0ed-2d330195250c,Site Code,BWF04
067eb3f6-2fb7-4c8a-b0ed-2d330195250c,OASIS ID,aocarcha1-10720
0689bac2-5d1a-47b4-a4a6-1acd0066ab7e,Site Code,ALY97
0690a118-52a6-4f63-a39a-fd717bb174a3,Site Code,LVL97
06951641-b6e8-4777-a712-fd2ffdece8fb,Site Code,ERT95
0699aa87-b4be-4ce5-893b-62afe7999624,Site Code,TRR91
06a25fce-e954-4f6a-8687-7a0f6ff717d8,Site Code,ABB87
06a36758-3f08-4958-87c9-3464be9a87f2,Site Code,LOT13
06a36758-3f08-4958-87c9-3464be9a87f2,OASIS ID,preconst1-177388
06a478a7-486c-482e-ade7-d2f94fbbddf2,Site Code,MAK11
06a478a7-486c-482e-ade7-d2f94fbbddf2,OASIS ID,preconst1-110318
06a892e8-af7b-4a2d-96eb-24f6a71b04fc,Site Code,MUP07
06b7c818-1c22-4145-adc9-5d64cf388c78,Site Code,PAM11
06b87895-e5ef-45c0-bc55-a0f6b13c7aa6,Site Code,XTI13
06bd3122-770e-44a5-abc5-960ddd9b0455,Site Code,CAZ76
06c9ac8d-e2bd-4568-b2d5-447eecf23fdd,Site Code,FHL10
06d8e3a6-fc46-4f7f-8d22-00adacf8da02,Site Code,CAK07
06d8e3a6-fc46-4f7f-8d22-00adacf8da02,OASIS ID,oxfordar1-54512
06d914a0-ca3c-4c7c-8517-e675d122fe70,Site Code,DKR00
06e53c40-60c8-4ff6-8b1b-fd3f8c0fce3e,Site Code,WFT99
06e6303a-171e-40b6-9c7e-ed1b893f531b,Site Code,LDE01
06e79212-f80c-4d5e-acab-9f5c7b1c15c7,Site Code,BHG97
06eb7a47-baf7-4c79-aeab-2ffabe2502ea,Site Code,LFG90
06ecfc68-689d-4934-8f6c-7a973b7d58bf,Site Code,NAU04
06ed9d14-7948-4d5d-82a6-3de9a68bf1da,Site Code,GOF91
06f19ca5-adb1-4371-a79f-b0e09614fc1a,Site Code,BLR96
07007cab-e273-4446-b812-4993fc43c3b2,Site Code,WSH13
070cad47-52a6-41e6-a6f6-7140d243b088,Site Code,FRO10
070cad47-52a6-41e6-a6f6-7140d243b088,OASIS ID,molas1-81146
0713586f-457b-46e5-a8d0-96eb68f8661c,Site Code,FAO90
071fb5fd-8923-42e5-9860-f78d6949874f,Site Code,SLT02
07206218-2ef0-4535-95c6-38731ca21c36,Site Code,LBT86
072c80c3-ce44-415d-8fd5-136fac7daa73,Site Code,CFB95
07342d41-7d90-4f48-ab4f-db564a0ef930,Site Code,WQH07
07342d41-7d90-4f48-ab4f-db564a0ef930,OASIS ID,preconst1-95561
07394481-26c2-46f2-8133-b52ad2dd1d5e,Site Code,HNA04
07444cff-505d-48c1-b63e-f25df5a0f9e6,Site Code,EVT95
0745d824-5f1c-4071-8773-04c08a7a4c5a,Site Code,FPW06
0745d824-5f1c-4071-8773-04c08a7a4c5a,OASIS ID,molas1-17553
074a4721-1794-46a8-bf3c-6e7677e2f193,Site Code,ODI06
074c63a5-779b-4f67-a8c6-48a2c3cb447c,Site Code,CHG11
074c63a5-779b-4f67-a8c6-48a2c3cb447c,OASIS ID,preconst1-97978
074fbbbb-5c09-4d14-a5a2-80f36b22dea9,Site Code,HPN93
07530778-4b88-4eb4-a55f-cc7318679b8c,Site Code,ODR03
075475db-31bd-492d-b373-6d43d9af8824,Site Code,OL-04007
075475db-31bd-492d-b373-6d43d9af8824,OASIS ID,preconst1-38169
075b7124-19d1-4ffe-a391-972e8cbc461e,Site Code,TZD08
0768aad1-9043-4da3-a751-d501dddbe22d,Site Code,BPB05
0768aad1-9043-4da3-a751-d501dddbe22d,OASIS ID,molas1-59121
076f8d29-663c-4df6-91bc-803703a6a54c,Site Code,TRN08
077a2b9b-175e-4640-b970-8a331e080b17,OASIS ID,archaeol7-169377
077db082-a8d2-41ee-abdf-0dd124aef2c0,Site Code,SJQ97
0784e621-a3b0-4325-b6d0-5e51d8a9e6ca,Site Code,OL03207
0784e621-a3b0-4325-b6d0-5e51d8a9e6ca,OASIS ID,preconst1-42725
07865bc8-7e6a-4719-8736-f9756f0ac042,Site Code,TOL74
0796990a-a137-4a86-aa38-8b287aa68b67,Site Code,DPS03
07994b83-57e0-4e1b-92f7-4d194a017a2a,Site Code,TBC98
079a37c1-465f-4919-87c6-28d80978b7e4,Site Code,BIF02
079b96be-8843-45ec-955f-b300ce3776b4,Site Code,MEB07
079f7b32-26d9-44b1-b68e-f7854a898e74,Site Code,PR441
07a3803c-74a6-460a-8142-05de7bae453f,Site Code,YKW01
07a3ad45-a864-4c69-85d9-c0db2b463967,Site Code,HIJ08
07a3ad45-a864-4c69-85d9-c0db2b463967,OASIS ID,preconst1-49024
07a3e869-8250-4431-bc8a-e223bc0feac9,Site Code,ROH89
07a93a36-e0e6-441d-a719-c5f54e23f785,Site Code,SBG87
07bf76af-488e-475d-b883-f5732f7dbb85,Site Code,Jan-90
07cba4d8-b14a-415d-bf01-0e429a75a74d,Site Code,ARK83
07d21566-4efa-4238-9c9d-229bbbf7ac7a,Site Code,CIM07
07d21566-4efa-4238-9c9d-229bbbf7ac7a,OASIS ID,archaeol6-27617
07d95712-7e29-4a8b-8588-401afda442cb,Site Code,HEX95
07da1204-0aa4-4513-ac1d-184290c687be,Site Code,PPI07
07dfa239-cb30-44ad-a872-cb82f99833ee,Site Code,EGM07
07dfa239-cb30-44ad-a872-cb82f99833ee,OASIS ID,archaeol7-35778
07e438ee-4920-4931-9698-efbc0f48824e,Site Code,CJL10
07f54704-0ae5-408d-bbe7-36219ac08bdc,Site Code,BDPS84
08001d79-691d-4390-8f85-9b5bc29cafb2,Site Code,EGH06
0803db5c-0e80-4c8e-81eb-043f7c11b6a4,Site Code,CNO95
080d3daf-1294-447a-9d19-9a828abf4d01,Site Code,LTK06
0831a185-ddb4-4475-b20c-c4879dd81c85,Site Code,FIB88
0836b27d-3fa1-4d6b-b5f9-b4cb9f55b31e,Site Code,BEU04
083adfa0-0271-4170-aa3f-4f4ba2f54bed,Site Code,RVB04
085162b7-01af-4424-9395-ca8c026efaf5,Site Code,YKW01
0854b4aa-91b2-4f85-b388-279558605729,Site Code,BNE97
08583fb9-a8c4-4884-9bbe-2e037c6343d5,Site Code,WAG88
085d66f8-0f51-43f6-b173-e7c63d611d0a,Site Code,NAR10
085d66f8-0f51-43f6-b173-e7c63d611d0a,OASIS ID,aocarcha1-80363
088cf726-a3db-47b8-ac81-407a85219adf,Site Code,GLK04
089b132b-7b46-4cec-88b6-c249b3bea043,Site Code,GM60
089b43dd-f10c-41bb-bcce-616291106040,Site Code,ECA05
089b43dd-f10c-41bb-bcce-616291106040,OASIS ID,preconst1-10715
089c9721-cd9a-48d7-9c34-ecd208252083,Site Code,LTS95
08a8a6cc-59b1-4b1c-9156-7dfe112cec34,Site Code,RHE01
08a8d916-8e28-408c-9832-501e3fcb4df9,Site Code,CTI98
08a9392d-912f-40af-ad6b-a5911342106a,Site Code,DA-WH88
08aa7ade-2ada-4c48-a4f6-c5b199af2823,Site Code,GHA03
08ad47fd-ce50-4faa-99a6-a4d4a90c9861,Site Code,TOL89
08adc9c0-aba8-4766-a780-0d4608c133a6,Site Code,LBL94
08b85bc3-199c-4169-ae0b-231a199859bb,Site Code,MWE12
08b85bc3-199c-4169-ae0b-231a199859bb,OASIS ID,preconst1-127706
08b9d727-19e5-46f1-a0ee-ae449dfe5666,Site Code,QAT95
08bcb9be-2f90-45e7-adf1-df086d9a4741,Site Code,CFM96
08c6dcb1-139b-4f7a-8c5a-dc5961808f11,Site Code,IRB09
08c6dcb1-139b-4f7a-8c5a-dc5961808f11,OASIS ID,preconst1-125974
08cc0f51-ae0d-443b-8e5e-df4114f6eb29,Site Code,SAJ98
08db61b5-cb51-4a02-b8b0-d9c1fcd18bb0,Site Code,MDN98
08dc5136-d555-471e-a557-b5b7f7a0d421,Site Code,BUF90
08dce252-d88f-49b7-a411-38a02139d2d2,Site Code,FRB06
08dce252-d88f-49b7-a411-38a02139d2d2,OASIS ID,preconst1-16611
08ec0a41-1522-4f28-9e60-aaa92d22dad4,Site Code,VWS03
08fb9664-3f39-405c-9a3f-591ad6cee8c1,Site Code,HBL10
08fe49d9-8aa5-4f03-93c7-bbfa927d5ca3,Site Code,GM14
08ff56a1-8c5b-4212-9988-8273c1f53480,Site Code,WT-WH93
0904c496-0d25-4e25-819e-3f80045cd155,Site Code,GM110
