ResourceID,Event Type
26c2a905-a17c-4ca5-9f7b-c171a050c3df,Trial Trench
26c4b393-beb2-476a-bdaf-55f45c8ee1be,Desk Based Assessment
274f0ea0-432f-4758-a97d-5b9de1defd8d,Watching Brief
277aac61-9251-4e1a-9468-b8cf6222de99,Trial Trench
27ce3b21-f8bd-4e01-93eb-35b116a0bf61,Desk Based Assessment
2826ac10-7c75-444e-9374-343b4224626c,Trial Trench
2837108e-d614-4a7d-a10a-af852ee1e7be,Watching Brief
283f5255-caf6-4a1d-b59c-8b837c2ad5aa,Watching Brief
29248f33-95a1-4e34-9356-531aeb4931bf,Trial Trench
29474113-39c4-4e0e-8f53-6301b8360371,Watching Brief
2972c1f0-ce34-442b-ba3c-a0b8b978ae4a,Desk Based Assessment
2a1768dc-862c-4426-9019-a3f09c05e388,Trial Trench
2a288a03-fb6d-4cf6-a505-050de4919b37,Open Area Excavation
2a3905c9-7ce8-43b8-8ea4-4ffbad1a1d21,Trial Trench
2a5443e3-bd05-4a04-9686-d80d3bd5a12b,Trial Trench
2a59d17a-f554-4dac-964b-57c4a6a61860,Desk Based Assessment
2a5a441a-a2f1-4dd7-9968-81331cf5e334,Watching Brief
2ae702c0-36bd-4217-a74a-9f57e5501e31,Desk Based Assessment
2b01e488-ea05-477c-93be-a9390e34ff55,Excavation
2b2ede58-9881-4134-89c6-fdb8593c22f4,Desk Based Assessment
2bed2211-5a3b-4cb9-bbc5-393dd2047e46,Watching Brief
2c549ba6-7c36-4d98-8784-f893094dd9af,Watching Brief
2c7e29a1-2d79-490d-9eba-bc1844ce5f24,Test Pit
2c7e29a1-2d79-490d-9eba-bc1844ce5f24,Borehole Survey
2c8bb772-85d8-48e4-89f2-b247b1ad7bd1,Excavation
2c9a126b-ebe7-438e-9a8a-63cf324d3f0f,Trial Trench
2cd10335-8795-4052-8529-6650ecf18b37,Trial Trench
2cd664ca-9471-4cd2-b0d3-9d19a499fb60,Watching Brief
2d2d0993-eb73-4904-b279-04db5cb59a59,Trial Trench
2d422b3d-1065-4354-9464-b33a417ea033,Desk Based Assessment
2d6018ef-87ae-4440-84a3-a72cc9701522,Watching Brief
2daa6e12-e624-47ee-9ae3-4c523ecd7eca,Trial Trench
2df6cd0f-db13-4336-bdc1-79729ba12ed0,Watching Brief
2e16c09d-1e2d-40c1-ac74-9d4fa0c31d8d,Trial Trench
2e2958d0-41b5-4bc3-b5c8-4eeb942d2b4c,Desk Based Assessment
2e3fd396-b0e3-477f-9363-c6875d00784b,Dendrochronological Survey
2e9cae7f-dd07-4c83-95c8-7598fa18f5df,Trial Trench
2ea19983-3588-4994-b614-a3551d77ea05,Trial Trench
2ecddee5-9dcf-4fc3-83a3-fe2d23fa4d1b,Excavation
2ecddee5-9dcf-4fc3-83a3-fe2d23fa4d1b,Watching Brief
2f0cdd15-65da-487b-ab06-7798fea5ec34,Field Survey
2f9befef-cc8e-42da-bb3f-66aaf64394cb,Trial Trench
303f1da1-911e-4255-814c-9d7d4f14e9e9,Watching Brief
30703b73-8b24-43b9-ad98-93f85d09013f,Trial Trench
308a0377-fafb-45f0-95bb-1bcca19814dd,Desk Based Assessment
31116f8d-e9b6-4a23-830c-d8d29d6bdb48,Excavation
311ce3aa-e351-4ceb-ae6d-14ea313f37d8,Desk Based Assessment
318ec56e-0857-4bdf-9ed5-5ff2f6e5a615,Watching Brief
319e9670-d62e-460c-8097-0b2b60eff7b0,Watching Brief
