ResourceID,SourceUID,SourceType,Title Type,Title,Page Numbers,Volume/Number,Journal/Series,Originator,OrigDate,Description Type,Description,Location,PublicationLocation,Publisher
56e5baa4-c482-4ea5-ba0a-56384339a0d3,,Serial,Title,Archaeologia,,Vol 64,,,1913,,,,London,The Society of Antiquaries of London
57023abd-88dc-4a1e-a4fb-c4a7e422c351,,Serial,Title,Architectural Review,,Vol 65  No 386,,,,,,,,
570b71d2-b3e6-4358-84ab-37ec9d7685eb,,Serial,Title,The Antiquaries Journal,,Vol 56,,,1976,,,,London,Oxford University Press
57154494-9bd1-4fe4-970d-c827ee55aa01,,Serial,Title,Journal of Archaeological Science,,Vol 1 No 2,,,,,,,,
573e80d6-0230-47ce-aea0-07c950bb19b1,,Serial,Title,Croydon Natural History & Scientific Society Proceedings,,Vol 6,,,,,,,,
574dabeb-db9b-4f88-bfd3-4f683c1206e6,,Serial,Title,British Numismatic Journal,,Vol 8,,,,,,,,
575595ba-4ab9-46b7-80f2-fce1ce7cd955,,Serial,Title,Antiquity,,Vol 14,,,,,,,,
578b4a15-c125-42d1-becc-0d3936d7b735,,Serial,Title,Hendon and District Archaeological Society Newsletter,,No 58,,,1975,,,,,Hendon and District Archaeological Society
57a381eb-8042-4c2a-bbdd-6dcf80cfa098,,Serial,Title,Hendon and District Archaeological Society Newsletter,,No 103,,,1979,,,,,Hendon and District Archaeological Society
57c7ebfa-68ed-4f2c-8705-8fbc7860107b,,Serial,Title,The Essex Review,,Vol 50,,,,,,,,
582fe06c-6f17-415b-a199-6edeb4b902e2,,Serial,Title,The Antiquary,,Vol 12,,,1885,,,,London,Elliot Stock
58505927-4842-49c1-a937-75868390b31f,,Serial,Title,Proceedings of the Prehistoric Society,,Vol 68,,,2002,,,,London,The Prehistoric Society
5862e48f-ea5b-4da1-b0c0-9aa499958923,,Serial,Title,Archaeologia Cantiana,,Vol 80,,,1965,,,,Maidstone,Kent Archaeological Society
58633e0d-637f-4574-b99a-019937398d13,,Serial,Title,Orpington and District Archaeological Society Archives,,Vol 10 No 4,,,,,,,,
5893a8ac-84c8-435e-b0e2-cf5db97a1b58,,Serial,Title,Hendon and District Archaeological Society Newsletter,,No 256,,,1992,,,,,Hendon and District Archaeological Society
58a54712-0ae3-46b8-8458-942561df0e32,,Serial,Title,The Antiquary,,Vol 42,,,1906,,,,London,Elliot Stock
58e2d88c-bf59-474d-bcc5-26f9b4d0df39,,Serial,Title,Surrey County Magazine,,Vol 10 No 3,,,1979,,,,,
58ea6106-62b9-4242-958d-519e165e1933,,Serial,Title,Greenwich and Lewisham Antiquarian Society Transactions,,Vol 4 No 4,,,1948,,,,London,Greenwich and Lewisham Antiquarian Society
59455598-b23d-4e6b-b0d3-e4f58bf80bb3,,Serial,Title,Essex Review,,Vol 20,,,1911,,,,Chelmsford,E. Durant & Co.
594861b9-40e6-47cc-b121-f141817ae5bc,,Serial,Title,Croydon Natural History & Scientific Society Proceedings,,Vol 9,,,,,,,,
595e1aa7-f01d-46e4-b146-0d1d220d1908,,Serial,Title,Proceedings of the Dorset Natural History & Archaeological Society,,Vol 20,,,,,,,,
5973f394-5619-41e3-b49e-6ceb038085e0,,Serial,Title,Journal of the Society of Archivists,,Vol 4,,,,,,,,
5a44feb6-92e2-4a66-b820-66b14da3d441,,Serial,Title,London Archaeologist,,Vol 6 No 15,,,1992,,,,London,London Archaeologist Association
5a6269d0-05b5-4b4f-8fd7-3efaf31a9bb6,,Serial,Title,Archaeologia Cantiana,,Vol 26,,,1904,,,,Maidstone,Kent Archaeological Society
5a9c9e9a-77ad-4ae2-b211-079fcf968548,,Serial,Title,The Archaeological Journal,,Vol 37,,,1880,,,,London,Council of the Royal Archaeological Institute of Great Britain and Ireland
5aa4f6e5-3987-42ec-a37a-596a7de0923c,,Serial,Title,The Archaeological Journal,,Vol 125,,,1968,,,,London,Royal Archaeological Institute
5abd2c4b-16ce-433c-9b73-c0593a98d473,,Serial,Title,Surrey Archaeological Society Bulletin,,No 184,,,1983,,,,Guildford,Surrey Archaeological Society
