ResourceID,External Cross Reference Source,External Cross Reference Number
13d3e4e3-c3fd-48c8-a2db-f9cb6ac6ff10,Site Code,VDN14
145c8687-28be-4920-903a-3e954e58fa9d,Site Code,GSG17
146b006c-141a-49c8-a9b7-9a57405ebf15,Site Code,LNL13
14a003f2-5bf3-4053-a780-29bdd8e49729,OASIS,aocarcha1-224408
14a003f2-5bf3-4053-a780-29bdd8e49729,Site Code,SRS 15
14b07b37-291f-4e42-bf84-e1d30cd4e35f,Site Code,HIN98
14b137f9-fd2c-44d2-b445-e69165df94fe,Site Code,BSH11
14ba722b-f786-4618-9983-8c9c83661952,OASIS,molas1-44891
15212156-d5e2-449f-9280-8c6063859a91,Site Code,REE 04
1524762e-f671-4fc9-961a-3f3e1f9d9c5a,Site Code,NWD94
154f9506-909b-488c-aa53-a03287e12ad8,OASIS,aocarcha1-124188
1575bd50-a349-48e5-a4c2-73b4b339e27f,OASIS,OXFORDAR1-151119
1575bd50-a349-48e5-a4c2-73b4b339e27f,Site Code,BEB12
15b4a4f1-3b6d-40a0-8a80-e192729d9a83,Site Code,GEO94
15ee8299-dcb8-41ab-8153-1441b4752dcf,OASIS,molas1-276836
15ee8299-dcb8-41ab-8153-1441b4752dcf,Site Code,GWD16
15ee8299-dcb8-41ab-8153-1441b4752dcf, LPA Planning Reference, 2013/5947/P
15f90b26-02f0-4e26-bdea-c27b5712ec88,Site Code,ASO18
1654788e-6782-409b-a6d2-b61445050cee,Site Code,SSE16
1675d59f-fd42-4ef6-811b-1e469a291693,Site Code,CFA6
16777988-31be-4d31-975e-994f23d1af7f,OASIS,molas1-91040
16777988-31be-4d31-975e-994f23d1af7f,Site Code,XRW10
16a1d47a-c00c-4363-9d42-acb9ada5d7cf,Site Code,RYA99
16d41e24-3c0a-4369-8ff7-68fd62f77522,Site Code,SRC93
16fe46f5-b52a-46de-93ac-d41971f59449,OASIS,molas1-149015
16fe46f5-b52a-46de-93ac-d41971f59449,Site Code,NKS13
176ea832-7209-42f7-99f7-0940c7323d39,OASIS,quaterna1-73508
176ea832-7209-42f7-99f7-0940c7323d39,Site Code,WHQ09
1784a96e-774a-4b01-abbb-b458337297aa,Site Code,RA-BW93
179377a9-5346-46fd-9592-116cea8de04f,OASIS,preconst1-234625
179377a9-5346-46fd-9592-116cea8de04f,Site Code,RYL15
17b33df4-23a0-485c-8a5a-2ca826c1be25,OASIS,preconst1-145571
17b33df4-23a0-485c-8a5a-2ca826c1be25,Site Code,GEN13
17c398dc-6e1f-4006-b38b-c6491beb31e4,OASIS,molas1-204981
17c398dc-6e1f-4006-b38b-c6491beb31e4,Site Code,WSC14
17df15ff-6d6b-4dc8-854b-43dcd73e0416,OASIS,archaeol2-145829
17e25992-0885-4ecc-a321-12d833c3c81f,Site Code,HW-WC94
180cbc52-f93d-4fea-b546-15e9dba7aa88,Site Code,XST98
182a1e9c-fc6a-4664-84a7-1c2cc2937c3c,OASIS,compassa1-67676
182a1e9c-fc6a-4664-84a7-1c2cc2937c3c,Site Code,THQ09
189cbccb-301f-44bc-b7df-171feb77f36b,OASIS,thamesva1-94627
189cbccb-301f-44bc-b7df-171feb77f36b,Site Code,PAK11
18a424d6-fc3e-4009-a136-5e54c1773ae2,OASIS,enfielda1-221490
18a424d6-fc3e-4009-a136-5e54c1773ae2,Site Code,FXH15
18ac2378-2a58-4a00-b68a-76df3a991493,Site Code,BEI02
18c350b9-3abb-4515-a734-7972c4bf97ed,OASIS,aorarcha1-293232
18c350b9-3abb-4515-a734-7972c4bf97ed,Site Code,ROB17
18c385ef-8ac8-4e26-ad3b-5d63bcb913d2,Site Code,ARA94
18fd2763-0bbb-41c9-b5cc-3a0101fbc2d5,Site Code,RMV97
191c52eb-b3ff-43f1-acb9-ec6c9dfab926,Site Code,HDK09
19290c8b-95c6-4369-bdcc-30868869524f,Site Code,OLB96
19588e1c-7de8-4f75-b918-01b72c64e45f,OASIS,molas1-279595
19588e1c-7de8-4f75-b918-01b72c64e45f,Site Code,CHX16
19845ba1-4a3b-4695-b884-d25f4e12bb5d,OASIS,aocarcha1-156560
19895809-bb35-46a2-a3b8-bb1e4f23714e,Site Code,HPO94
19b29f47-e2f4-41d9-8776-d69d962f6a45,OASIS,archaeol6-221491
19b29f47-e2f4-41d9-8776-d69d962f6a45,Site Code,BEA15
19c5f94f-377a-422c-a0a0-35b8f3bde5c2,Site Code,MSZ05
19c88cb2-3c57-4a39-ade7-058a61959277,Site Code,TZS09
19d80fd4-7041-439d-a71a-109b8d2abaa5,OASIS,molas1-183739
19d80fd4-7041-439d-a71a-109b8d2abaa5,Site Code,SAM14
19ebf7aa-8cab-47cd-82c5-9756fb63a072,Site Code,AWH11
19ee1773-ccdb-4b48-a6c4-429c98808557,OASIS,molas1-53726
19ee1773-ccdb-4b48-a6c4-429c98808557,Site Code,OL-04307
19f5721d-d055-4845-a72a-b6547a1b105e,OASIS,preconst1-250080
19f5721d-d055-4845-a72a-b6547a1b105e,Site Code,KXR09
19f5fdf0-82b5-48b8-b66f-4ba1650f6105,Site Code,EEN16
1a55f28e-7382-4b6c-8f6a-c362d1fecc5d,Site Code,SMB91
1a8fc506-a17e-4f94-a226-bbee03f585a8,Site Code,RBO10
1a90772e-fdd9-4728-9cdf-463998e8ff88,Site Code,QNG14
1aaef433-86c2-4eea-a2c2-8ac4b5fc414c,OASIS,preconst1-26187
1aaef433-86c2-4eea-a2c2-8ac4b5fc414c,Site Code,HYA01
1ac84e8e-6ba0-4bf3-8ec4-378e7e470194,OASIS,preconst1-231374
1ac84e8e-6ba0-4bf3-8ec4-378e7e470194,Site Code,MMR 15
1adf80db-3cd9-41dc-a15f-841624af57fa,Site Code,LIP97
1b2a4b05-6cb1-4006-8c53-4b7e7d3d0c1b,Site Code,WRI96
1b7fa3e4-6312-4a71-9f74-a4d008f3e308,OASIS,preconst1-178436
1b7fa3e4-6312-4a71-9f74-a4d008f3e308,Site Code,WSA14
1b889f14-e212-4d90-86b8-447bc5f2a910,Site Code,TIF95
1bc4d83a-a1d5-451a-9300-a5643c8f4274,OASIS,enfielda1-151589
1bc4d83a-a1d5-451a-9300-a5643c8f4274,Site Code,LTR87/LTR88
1bcc6168-99cb-473a-b973-1302b81fccb4,OASIS,molas1-114656
1bcc6168-99cb-473a-b973-1302b81fccb4,Site Code,XSY11
1be95ab9-2d86-4438-82ac-f5e4a43e55ca,OASIS,preconst1-98024
1be95ab9-2d86-4438-82ac-f5e4a43e55ca,Site Code,TID11
1c4a5f9c-2b95-4545-acb2-92627fe6ce5f,OASIS,headland4-201166
1c56bc76-467b-43bb-ba0d-71139d578ce1,LPA Planning Reference,2018/0926
1c56bc76-467b-43bb-ba0d-71139d578ce1,Site Code,GOS17
1c80ac37-d6d2-48a5-9989-f4af9cbd797b,OASIS,molas1-226961
1c80ac37-d6d2-48a5-9989-f4af9cbd797b,Site Code,LOI15
1ca3a028-1647-4d88-b5dc-cae6037477f2,Site Code,LBU01
1cc15b97-6100-4847-8a44-b3031056ec55,Site Code,SCR95
1cdeebf6-a1c5-4636-ad51-19e10e30827b,Site Code,HGB03
1cf703f2-d92a-4faf-ada3-28713bc6ee6f,Site Code,TUR95
1d32e78a-31b7-4e63-b684-8483107047c2,Site Code,WCS01
1de9c0cc-dd61-446e-bdf0-8575d5fae03d,Site Code,GCS97
1df29542-4357-4016-a9f0-77f4253ea593,Site Code,SWS15
1e37bbe7-4bac-4bec-94d4-1f4f12725998,OASIS,ecusltd1-162788
1e3d55d5-1dc1-499b-85cd-cc24db46f81f,Site Code,GDD97
1e48dbdf-6bbe-4e6e-a0d3-8e43d1dbd5d0,OASIS,molas1-141914
1e48dbdf-6bbe-4e6e-a0d3-8e43d1dbd5d0,Site Code,BRN12
1e5c98f6-eb13-44a9-ba87-93656b68db7b,OASIS,molas1-174456
1e5c98f6-eb13-44a9-ba87-93656b68db7b,Site Code,GGN13
1e5d93dd-d5aa-4f1a-8d8f-ddc29d4745e9,Site Code,LUM05
1e80d1fb-75d3-4449-a3d2-2c5cf2d85d4d,Site Code,BTC93
1e886a29-6c75-42a7-840b-2eda6356159a,OASIS,preconst1-177333
1e886a29-6c75-42a7-840b-2eda6356159a,Site Code,CYN13
1e944398-941b-4eac-a3da-8f3b5bc30f2d,LPA Planning Reference,APP/Y5420/W/16/3165389
1ea3e74e-dfc3-4ed7-a847-df4ca7673116,OASIS,compassa1-133464
1ea3e74e-dfc3-4ed7-a847-df4ca7673116,Site Code,PSP12
1ea52d3a-1624-4123-bc04-e9de304a3b5e,Site Code,MGP98
1eaffb37-d331-43f0-984f-29b4d9d6d59f,Site Code,SJE98
1ece7d49-baec-436f-978f-6301e0cc303d,Site Code,LBY13
1ed986c1-0019-4ede-8121-5336fef1c77e,Site Code,KEH95
1ee60f1f-a007-4a8d-b299-48b988e57e8d,Site Code,HSO14
1eecb388-dce2-4bbd-8b88-138f69bd7f56,OASIS,molas1-199921
1eecb388-dce2-4bbd-8b88-138f69bd7f56,Site Code,CUR11
1f1f64ef-6b80-4077-959c-e546a1323b85,Site Code,TTD16
1f3751eb-4d5f-473a-8cd2-57f5594e46ec,Site Code,NKG99
1f474fa6-9d1e-4ccb-84a3-0cccb273890b,Site Code,MRM02
1f78b2f6-72ef-4c22-b1f3-a74376390871,OASIS,molas1-72412
1f7ab6b0-1762-453b-8b72-dd2f4befff0d,Site Code,GLA93
1f852364-a278-4a16-98f9-8e6bdbaf522c,OASIS,compassa1-265711
1f852364-a278-4a16-98f9-8e6bdbaf522c,Site Code,EHP16
1f967b63-fbb7-4bd9-9f2b-66a00cbe4ab4,OASIS,molas1-190986
