ResourceID,External Cross Reference Source,External Cross Reference Number
0c8f47e3-10fa-4d9f-b5c9-9340c69a0628,London Archaeological Group Number,07/546
0ca90b47-a4e9-43e5-a97b-b36ea18166c4,London Archaeological Group Number,30/815
0cb60f77-abef-4767-9e72-779b30c998fc,London Archaeological Group Number,06/094
0cd56169-38df-4706-9e1c-f12f98020a47,London Archaeological Group Number,24/448
0ce00517-adbc-4da2-9d43-8cc5532cc6a1,London Archaeological Group Number,06/048
0ce6e6b1-5546-4442-a232-c63968ff5a99,London Archaeological Group Number,16/126
0cfa0b17-52f9-4f85-b520-14c86f99be87,London Archaeological Group Number,25/247
0d0ac66b-f193-4b35-9d73-403cc598b89f,London Archaeological Group Number,22/467
0d34f958-092a-48f7-82f0-05ae5935b3ac,London Archaeological Group Number,31/042
0d48cba0-535d-4a81-8e1d-abd92de7bd8f,London Archaeological Group Number,25/442
0d494420-ea6c-45d1-af79-39efa948a49d,London Archaeological Group Number,18/139
0d499016-6561-46bd-886c-3bf762318c11,London Archaeological Group Number,098/042
0d5f262d-32bb-430f-bc96-70274f624b6b,London Archaeological Group Number,01/107
0d6eb211-8d69-489f-9630-1b2823bd5ad4,London Archaeological Group Number,25/508
0d80ebd1-d14d-433e-9db1-38e0b32c19e2,London Archaeological Group Number,19/023
0d97cbf8-6d24-4556-b04d-463f685a5648,London Archaeological Group Number,16/162
0d9b878f-c4e8-4a16-8ec0-c25d74abc1c1,London Archaeological Group Number,22/020
0de4d563-70f6-4d78-b8d1-2fb2b19b92e5,London Archaeological Group Number,32/503
0e084018-3973-46fe-ab79-f25992106c3d,London Archaeological Group Number,27/282
0e4af6f3-aa13-4887-9bac-700c5b3a0e12,London Archaeological Group Number,24/154
0e5748b4-79ee-4d99-b0ce-a634ea453cb0,London Archaeological Group Number,21/073
0e9a088e-59af-4421-9e12-9c3be0c3cf3d,London Archaeological Group Number,30/305
0e9f654c-2a1b-4b33-9f33-6e53263e1b99,London Archaeological Group Number,27/046
0ea43b08-8d2e-49aa-9f71-efd28ea08e29,London Archaeological Group Number,27/322
0ea9573a-298e-462c-8397-fd626dafe462,London Archaeological Group Number,11/420
0ee97ec6-711a-4c8d-be1e-e04cba138fc0,London Archaeological Group Number,25/052
0ee994fc-fdf1-4db6-ad89-6084b4bf92f2,London Archaeological Group Number,30/543
0ef9e647-a888-4684-937c-4cebe13ffc3b,London Archaeological Group Number,27/046
0f012040-ef97-4c2c-8eea-fdf483bd6a56,London Archaeological Group Number,07/316
0f014953-d87a-4bfd-9e28-2d48a8285b29,London Archaeological Group Number,23/349
0f06ed1b-63ea-4e9b-bdc8-01605a0f868d,London Archaeological Group Number,32/036
0f143f67-e276-4590-9794-dd00b308f3ad,London Archaeological Group Number,07/159
0f24b737-e5a5-4bdf-8e0a-504c69b97d57,London Archaeological Group Number,07/162
0f256fee-49f1-4ccc-879e-5a3f43c25994,London Archaeological Group Number,10/068
0f351183-021f-49d8-94f9-289464280018,London Archaeological Group Number,32/001
0f7bc817-893d-4d0b-960c-0d5f90cfac35,London Archaeological Group Number,21/224
0f7f035b-a601-4991-a8ba-0f549bf1d9ca,London Archaeological Group Number,30/762
0f872758-44ee-4862-94a4-3c6661c12b37,London Archaeological Group Number,06/014
0f87909b-b1b0-4711-8c43-a2cc68b69c41,London Archaeological Group Number,10/086
0fa97279-9c8a-40fe-8063-55d3f7d4855d,London Archaeological Group Number,19/005
0faad3ec-aa47-4144-b097-8cb71c40f3ce,London Archaeological Group Number,32/569
0fc4f5a2-97a7-4fd8-9a59-18794ec8fde5,London Archaeological Group Number,08/298
10039b52-44c4-44ae-85e9-2d067a7e4727,London Archaeological Group Number,18/272
102ef25e-19e7-49d4-8284-5905728fc1b2,London Archaeological Group Number,29/306
104b3343-3785-4499-85e1-ccabf527d779,London Archaeological Group Number,05/158
1062dad5-55b9-41c1-b00a-cb4a60e072b9,London Archaeological Group Number,24/450
106e8ac2-82c8-496f-970a-068da6c141f0,London Archaeological Group Number,10/163
107be8b3-df66-46f3-9699-06709b63c66a,London Archaeological Group Number,12/141
10a0bf5d-a26a-4f00-91b7-071e3053378b,London Archaeological Group Number,14/194
10a287ca-1f27-4d8f-b051-5e9084fb3275,London Archaeological Group Number,24/183
10ad6e10-3291-4c34-b89e-d185aa39ee09,London Archaeological Group Number,07/406
10b865c8-23c2-43d4-8b1f-35102608dd87,London Archaeological Group Number,32/072
10d71c86-4119-4c18-a8cd-6175b50fa7a0,London Archaeological Group Number,008/0982
10e51e4f-c5d0-4d58-a108-a13b80d4d181,London Archaeological Group Number,27/011
111427b7-c3f2-4c23-b098-186117260468,London Archaeological Group Number,16/365
11641bf2-131d-4fd9-8da4-61b83e8fd8d7,London Archaeological Group Number,30/8415
1177e1e6-68da-4086-a429-a232b362be93,London Archaeological Group Number,12/217
11b0d308-f3ca-44b1-b23c-5c277f8097ca,London Archaeological Group Number,27/016
11bef4d5-e8da-4ed6-989f-48ba752c8076,London Archaeological Group Number,19/284
11e79761-ee4e-4aae-a953-964c3583f5ab,London Archaeological Group Number,29/072
11fb7552-da76-4af9-95cd-7abbba8217d7,London Archaeological Group Number,008/791
12097623-2dcb-4e74-9b12-8e187d214d00,London Archaeological Group Number,19/170
12252c3e-31c7-4155-8307-4dfd758704af,London Archaeological Group Number,08/585
12347c79-38cf-412f-a42b-9c4defdf8027,London Archaeological Group Number,07/177
1241e7ba-1908-4feb-9c06-94d9f1679c5b,London Archaeological Group Number,24/202
1247a0ce-ba0c-41c0-98c7-eee7e0ab6362,London Archaeological Group Number,07/034
1261a2d6-5333-4f5f-a8c6-948809168c39,London Archaeological Group Number,32/057
127e8d57-e3d6-4c6e-bac4-f5d5569d94c5,London Archaeological Group Number,19/259
1287e474-0a70-4cde-8582-b926fddd1f1c,London Archaeological Group Number,24/331
12c935f4-7ada-4b45-80a8-24889d98f05e,London Archaeological Group Number,07/385
130dd7ca-5e8c-4d5f-ac27-ba4bc258353a,London Archaeological Group Number,23/228
1325dd2f-911e-49e5-92a2-674f0a72bc41,London Archaeological Group Number,07/053
1326af60-3434-48f4-af1a-ebc7ed27115e,London Archaeological Group Number,32/163
132b7da2-1e6b-4f74-b7cd-6b5657d16545,London Archaeological Group Number,32/512
132bfa45-9839-4f71-8dbf-f831ff5beae0,London Archaeological Group Number,21/241
13465018-d10d-4190-8e22-e156d25a1139,London Archaeological Group Number,16/145
137a92c9-8c71-4087-898b-c102370ecc33,London Archaeological Group Number,27/332
1380068e-ce47-4a3d-b7bf-f19baa55abd8,London Archaeological Group Number,06/047
1393164a-bcb3-42cc-baee-e4d355d4feda,London Archaeological Group Number,26/010
13a39fbd-e65d-43bc-bd6a-25a483d5c6c5,London Archaeological Group Number,29/069
13cb9839-1209-42f0-819d-b4fd8fe41b02,London Archaeological Group Number,08/101
13cf206d-b1d5-4479-b37c-53cfc1f6ada8,London Archaeological Group Number,24/312
13e580aa-e33a-4c27-8df5-834f2537ff35,London Archaeological Group Number,008/0971
144d8aac-215e-46bc-b6d0-7c3a6c7dd7da,London Archaeological Group Number,18/435
146b006c-141a-49c8-a9b7-9a57405ebf15,London Archaeological Group Number,18/395
14aa72d2-a9b4-42a6-94dd-91bbba5ba5f1,London Archaeological Group Number,12/036
14b07b37-291f-4e42-bf84-e1d30cd4e35f,London Archaeological Group Number,29/112
14b137f9-fd2c-44d2-b445-e69165df94fe,London Archaeological Group Number,23/360
14ba722b-f786-4618-9983-8c9c83661952,London Archaeological Group Number,07/183
14c8362d-4616-4eed-8b8e-e67c84d676cf,London Archaeological Group Number,25/458
151894d1-84d7-4b8f-8345-0ece9940c938,London Archaeological Group Number,32/567
15212156-d5e2-449f-9280-8c6063859a91,London Archaeological Group Number,01/153
1524762e-f671-4fc9-961a-3f3e1f9d9c5a,London Archaeological Group Number,29/064
154a7a54-b436-4ce1-9fff-0ceac9c6384d,London Archaeological Group Number,50/009
15575e32-473e-422c-bec0-8f914ba4e07e,London Archaeological Group Number,32/588
155a8204-9ee5-4ea3-bdce-40bcf0ebadc8,London Archaeological Group Number,21/143
15731bb0-6ac9-451a-bc1b-2555e6cb4411,London Archaeological Group Number,21/110
1575bd50-a349-48e5-a4c2-73b4b339e27f,London Archaeological Group Number,29/352
15816687-80e4-4867-9ee8-c4ba38081d54,London Archaeological Group Number,12/298
158535b9-5dc4-4d2e-aa1c-f6a797cf7a50,London Archaeological Group Number,31/019
15a2ac65-d570-47c1-909a-cfd35eb59116,London Archaeological Group Number,032/631
15b4a4f1-3b6d-40a0-8a80-e192729d9a83,London Archaeological Group Number,27/009
15cc39b8-03f1-4db6-9f28-2bf69417e69a,London Archaeological Group Number,20/022
15d7700e-06be-4dd1-9d54-a9c19c8b6757,London Archaeological Group Number,27/093
15f6d04e-2965-4bc7-bae8-32ad30421792,London Archaeological Group Number,018/498
15f90b26-02f0-4e26-bdea-c27b5712ec88,London Archaeological Group Number,003/0286
1601b14c-5e16-4945-b626-7b44347592d0,London Archaeological Group Number,01/567
1629e840-ea87-43d1-879b-ec6281cda4a9,London Archaeological Group Number,16/022
1638b143-e4aa-4a92-b10a-bc7739061df0,London Archaeological Group Number,21/353
163eb8fa-b654-4576-ab9a-78f22cda3251,London Archaeological Group Number,22/001
1662ea42-d6b3-48d7-90f0-81dd7de9371c,London Archaeological Group Number,003/232
166774bc-36bb-4c65-87f0-0d9951d0c16b,London Archaeological Group Number,27/185
1673dfc5-3181-4113-b40d-90f3b7ce9860,London Archaeological Group Number,07/405
16a1d47a-c00c-4363-9d42-acb9ada5d7cf,London Archaeological Group Number,11/136
16a24fb7-7ad1-4131-b880-01c1553867b3,London Archaeological Group Number,33/584
16ad8c05-0d36-4e30-8817-34c225fe4c45,London Archaeological Group Number,07/228
16c7876a-e3d4-41c1-8ef1-9d0cb3935adc,London Archaeological Group Number,05/238
16d41e24-3c0a-4369-8ff7-68fd62f77522,London Archaeological Group Number,08/076
16dcb610-e980-42bf-b5c6-f753017b8b27,London Archaeological Group Number,06/094
16fba508-f7d6-4713-93e8-ec0469995f5a,London Archaeological Group Number,30/018
17038b9f-49c1-4233-88b0-665b8ac24e6f,London Archaeological Group Number,12/293
1720a688-861e-4e03-a394-83d35f45dcba,London Archaeological Group Number,30/002
1738943e-a08c-4df3-bdd3-e1fdffd68bc4,London Archaeological Group Number,24/167
176ea832-7209-42f7-99f7-0940c7323d39,London Archaeological Group Number,25/178
1777a022-1e27-4420-abaa-41125c9cb6f0,London Archaeological Group Number,24/151
177eb415-feb1-4ea3-a6d8-175e44799b1e,London Archaeological Group Number,07/285
1784a96e-774a-4b01-abbb-b458337297aa,London Archaeological Group Number,16/126
178a5948-28c5-4f64-b8a0-87ca6fbf4c48,London Archaeological Group Number,05/230
17b33df4-23a0-485c-8a5a-2ca826c1be25,London Archaeological Group Number,25/503
17bc91ab-49ea-4879-80a1-9edff55f5377,London Archaeological Group Number,07/389
17d0f6aa-b83e-4e40-ab6f-f50cfc52809d,London Archaeological Group Number,29/143
17df15ff-6d6b-4dc8-854b-43dcd73e0416,London Archaeological Group Number,29/345
17e25992-0885-4ecc-a321-12d833c3c81f,London Archaeological Group Number,25/014
17ff7a12-b116-4e92-8272-27ef12d463bf,London Archaeological Group Number,12/099
180cbc52-f93d-4fea-b546-15e9dba7aa88,London Archaeological Group Number,19/141
182077d1-03f4-4fec-8b26-4b532a17f78c,London Archaeological Group Number,33/183
1829e774-bfb7-49fd-b982-9104807006ab,London Archaeological Group Number,07/362
182a1e9c-fc6a-4664-84a7-1c2cc2937c3c,London Archaeological Group Number,32/491
18393360-6709-4b08-a17f-dd9febd494ff,London Archaeological Group Number,22/466
18878d31-ea75-4c2b-8ef4-ddd26f88de43,London Archaeological Group Number,30/094
189cbccb-301f-44bc-b7df-171feb77f36b,London Archaeological Group Number,29/338
18c385ef-8ac8-4e26-ad3b-5d63bcb913d2,London Archaeological Group Number,30/173
18e0151b-5d88-4e0b-910a-4a1c23cbcce3,London Archaeological Group Number,33/166
18fd2763-0bbb-41c9-b5cc-3a0101fbc2d5,London Archaeological Group Number,16/080
1911c97b-162c-4a12-9cbd-3668246738a4,London Archaeological Group Number,07/210
19290c8b-95c6-4369-bdcc-30868869524f,London Archaeological Group Number,27/102
194e1074-30e4-490d-9a5d-e1cb07121a70,London Archaeological Group Number,25/141
1973fbe9-5a3d-4df5-80d1-1404827845e4,London Archaeological Group Number,11/271
19895809-bb35-46a2-a3b8-bb1e4f23714e,London Archaeological Group Number,18/066
198f3f40-2c7d-4719-b67a-5ed495e17687,London Archaeological Group Number,07/268
19c5f94f-377a-422c-a0a0-35b8f3bde5c2,London Archaeological Group Number,12/244
19c88cb2-3c57-4a39-ade7-058a61959277,London Archaeological Group Number,19/436
19ebf7aa-8cab-47cd-82c5-9756fb63a072,London Archaeological Group Number,32/473
19ee1773-ccdb-4b48-a6c4-429c98808557,London Archaeological Group Number,74/003
19f399e9-ece7-4a5f-ac30-d4ad77d1ffda,London Archaeological Group Number,03/273
19fc5b94-f6a0-4782-adba-6b3345d70ae8,London Archaeological Group Number,22/027
