ResourceID,DALUID,Building Number and Street,Building Name,Locality,Town,Postcode,Address Status,Area Name,Area Type,Area Currency,Reference Number,Reference Number Type,Location Description,Name,Name_Type
41d871c6-1cbb-5313-3ebb-73c7d499278e,DALO05279,,Catford Greyhound Stadium,,London,SE6 4RH,Primary,Lewisham,Borough,Current,15/92386,External Organization Reference Number,"BLOCK A, CATFORD GREEN, ADENMORE ROAD",Catford Greyhound Stadium,Primary
41ea99fa-6b52-33d2-2880-b2b650ad8803,DALO02305,,Hurlingham Club,,London,SW6 3PR,Primary,Hammersmith and Fulham,Borough,Current,2013/04441/FUL,External Organization Reference Number,"Proposed Redevelopment of the West Wing, Hurlingham Club, Ranelagh Gardens, London ","Proposed Redevelopment of the West Wing, Hurlingham Club, Ranelagh Gardens, London SW6 3PR",Alternative
41eb873a-0618-2286-8e1c-cf8a7cff3443,DALO05241,,Howard Primary School,Croydon,London,CR0 1DT,Primary,Croydon,Borough,Current,13/00750/P,External Organization Reference Number,"Howard Primary School, Dering Place","Howard Primary School, Dering Place, Croydon, CR0 1DT",Primary
4208c80e-974a-05ea-9dd5-caa1757a59cf,DALO02376,6  High Coombe Place,,Kingston upon Thames,London,KT2 7HH,Primary,Kingston upon Thames,Borough,Current,1614623,External Organization Reference Number,,"6 High Coombe Place, Kingston upon Thames, KT2 7HH",Primary
422a34b0-5f73-4eaa-5dfa-8cbfe2bb4c2e,DALO05418,2-4  South End,,Croydon,London,CR0 1DL,Primary,Croydon,Borough,Current,16/00102/P,External Organization Reference Number,,"2-4 South End, Croydon, CR0 1DL",Primary
423d3be8-0833-7707-8294-0e02db461174,DALO00428,9  Salmons BrookN NAnd ,,Enfield,London,N18,Primary,Enfield,Borough,Current,16/01085/NMA,External Organization Reference Number,"Salmons Brook, Enfield, N21, N9 And N18.","Salmons Brook, Enfield, N21, N9 And N18",Primary
424f166f-6d49-3ed1-8a39-2009bee65a15,DALO02981,782  Romford Road,,Manor Park,London,E12 5JG,Primary,Newham,Borough,Current,16/02426/FUL,External Organization Reference Number,,"782 Romford Road, Manor Park, London, E12 5JG",Primary
425a8636-5bf9-7d7a-6a6e-46a0ee5d3516,DALO05924,33  Bishops Close,,Coulsdon,London,CR5 1HH,Primary,Croydon,Borough,Current, 15/04359/P,External Organization Reference Number,,"33 Bishops Close, Coulsdon, CR5 1HH",Primary
426215e0-00de-454d-77d6-900943da1a25,DALO03137,1  CEDAR ROAD,,Feltham,London,TW14 8EU,Primary,Hounslow,Borough,Current,P/2017/0705,External Organization Reference Number,,1 CEDAR ROAD FELTHAM LONDON TW14 8EU,Primary
42965902-8a80-0aca-96b0-969422d25546,DALO05793,2  Adine Road,,Plaistow,London,E13 8LL,Primary,Newham,Borough,Current,15/02757/HH,External Organization Reference Number,,2 Adine Road,Primary
