ResourceID,Location Description,Location Description Type
0cd56169-38df-4706-9e1c-f12f98020a47,"Cedars Avenue, Mitcham, CR4",Primary
0cd56169-38df-4706-9e1c-f12f98020a47,"Tamworth Lane, Mitcham, CR4",Primary
0cdf2712-24b2-4bcc-964d-34fa0c189486,"Greenwich Park, Greenwich, SE10",Primary
0d0ac66b-f193-4b35-9d73-403cc598b89f,"Nine Elms Lane, SW8",Primary
0d34f958-092a-48f7-82f0-05ae5935b3ac,"Cathall Road Shortfall Site, Langthorne Hospital, E11",Primary
0d48cba0-535d-4a81-8e1d-abd92de7bd8f,"Mandeville Street, E5",Primary
0d494420-ea6c-45d1-af79-39efa948a49d,"Hibernia Road, Hounslow, TW3",Primary
0d5dea19-db03-4885-8516-88e8e8fb0220,"Mandela Way, Walworth, Southwark",Primary
0d5f262d-32bb-430f-bc96-70274f624b6b,"Abbey Road, Barking, Barking and Dagenham",Primary
0d64eaf5-e356-4d26-9212-52715b9c524a,St Pauls Cathedral School,Primary
0dce9356-9948-4cf7-97d7-7880fd509188,"Wood Street, Kingston",Primary
0dfe2430-ba53-47ce-8202-2dbcc3ff8090,"Mitcham Road, Croydon, CR0 3HG",Primary
0dfe2430-ba53-47ce-8202-2dbcc3ff8090,"Thornton Road, Croydon, CR0 3HG",Primary
0e06bee7-1d6c-48eb-8f20-794f63dad7f6,"Guy's Hospital Phase III Development, Great Maze Pond, London Borough of Southwark",Primary
0e06bee7-1d6c-48eb-8f20-794f63dad7f6,"Guy's Hospital Phase III Development, St Thomas' Street, London Borough of Southwark",Primary
0e084018-3973-46fe-ab79-f25992106c3d,"Waldegrave Road, Twickenham, TW1",Primary
0e4af6f3-aa13-4887-9bac-700c5b3a0e12,"Bushey Road, New Malden, KT3",Primary
0e4af6f3-aa13-4887-9bac-700c5b3a0e12,"West Barnes Lane, New Malden, KT3",Primary
0e7152ef-aa41-440e-8c55-396eb3067f1e,"St John's Wood Square, Ordnance Hill, St John's Wood, Westminster, NW8",Primary
0ea43b08-8d2e-49aa-9f71-efd28ea08e29,"Cambridge Park, Twickenham, TW1 2JP",Primary
0ea9573a-298e-462c-8397-fd626dafe462,"Greenwich Park, SE10",Primary
0ee97ec6-711a-4c8d-be1e-e04cba138fc0,"Ferndale Street, E16",Primary
0ee97ec6-711a-4c8d-be1e-e04cba138fc0,"Woolwich Manor Way, E16",Primary
0ee994fc-fdf1-4db6-ad89-6084b4bf92f2,"Bradwell Street, Mile End, Tower Hamlets, E1",Primary
0ef9e647-a888-4684-937c-4cebe13ffc3b,"Hampton Court, Richmond",Primary
0ef9e647-a888-4684-937c-4cebe13ffc3b,"Bushy Park, Richmond",Primary
0f014953-d87a-4bfd-9e28-2d48a8285b29,"Belmont Park, SE13",Primary
0f014953-d87a-4bfd-9e28-2d48a8285b29,"Middleton Way, SE13",Primary
0f014953-d87a-4bfd-9e28-2d48a8285b29,"Blessington Road, SE13",Primary
0f2eb1b5-1b15-407a-b6fa-5328aaf8de45,"Turks Head Yard, Turnmill, Farringdon, Islington",Primary
0f76f3d3-5b23-440b-8bd2-e65c6dd9c99d,"Lillie Square, Seagrave Road, Earl's Court, Hammersmith and Fulham, SW6",Primary
0f7bc817-893d-4d0b-960c-0d5f90cfac35,"Woodview Close, Kingston Vale",Primary
0f87909b-b1b0-4711-8c43-a2cc68b69c41,"North Circular Road Improvements, Silver Street, Enfield",Primary
10039b52-44c4-44ae-85e9-2d067a7e4727,"Gunnersbury Park, North Circular Road, Gunnersbury, Hounslow",Primary
10039b52-44c4-44ae-85e9-2d067a7e4727,"Gunnersbury Park, Lionel Road North, Gunnersbury, Hounslow",Primary
1013168b-596d-4028-b5ec-c1dfa2363940,"South Acton Estate, Bollo Bridge Road, Acton, Ealing",Primary
1062dad5-55b9-41c1-b00a-cb4a60e072b9,"St Mark's Road, Mitcham, CR4",Primary
106e8ac2-82c8-496f-970a-068da6c141f0,"Green Field South of Enfield Old Waste Recycling Depot, Montagu Road, Edmonton, Enfield",Primary
10a0bf5d-a26a-4f00-91b7-071e3053378b,"Goods Yard Site, White Hart Lane, Tottenham",Primary
10c5e891-1377-4056-9b92-abfc46925134,"Brich Grove, Warren Road, Coombe, Kingston, KT2",Primary
10e51e4f-c5d0-4d58-a108-a13b80d4d181,"Ham Common, Richmond",Primary
111427b7-c3f2-4c23-b098-186117260468,"Gooshays Road, Harold Hill, Romford, Havering",Primary
11ae477f-1977-478d-a5ac-0fcb45503368,Chelsea Embankment Foreshore,Primary
11cbf746-f4d0-4ca8-92c4-2d374a61e595,"Kingston Hill, Coombe, Kingston, KT2",Primary
11fb7552-da76-4af9-95cd-7abbba8217d7,"Lion Green Road, Coulsdon",Primary
1247a0ce-ba0c-41c0-98c7-eee7e0ab6362,"Knightrider Street, EC4",Primary
12498096-34da-492b-91f9-e81560957e78,"Abbey Green Park, Barking, Barking, Barking And Dagenham, IG11",Primary
124c8a5b-a7b7-4098-8f9b-1204aa40e8a4,Northern London Railway and Gospel Oak to Barking Line,Primary
12748b49-70db-4793-8e56-ce8a4aa0378a,"Ponders End Industria Estate, East Duck Lees Lane, Ponders Lane, Enfield",Primary
1277045b-ad27-45c7-b1aa-21d3f97ee531,"Set E2 Albany, W1J 0AP",Primary
1308d71c-d75b-4c79-b239-fbb8c40acf54,"Lincoln's Inn, Camden",Primary
1308e19c-63db-4958-8e46-bdb40015ad30,"Waddon Development, Denning Avenue, London Borough of Croydon",Primary
1308e19c-63db-4958-8e46-bdb40015ad30,"Waddon Development, Purley Way, London Borough of Croydon",Primary
1308e19c-63db-4958-8e46-bdb40015ad30,"Waddon Development, Coldharbour Road, London Borough of Croydon",Primary
1346334a-79f1-4eab-b98b-90cb13190c05,"Unity Place, Sutherland Road, Waltham Forest",Primary
13465018-d10d-4190-8e22-e156d25a1139,"ABC Cinema Site, Regarth Avenue, Romford, Havering",Primary
135eacc1-dd9e-40c5-8013-ff4f1f5c4113,"Enfield Distribution Park, Ponders End, Enfield",Primary
137a92c9-8c71-4087-898b-c102370ecc33,"The Green, TW9 1NQ",Primary
137a92c9-8c71-4087-898b-c102370ecc33,"King Street, TW9 1NQ",Primary
1380d8c1-9db0-44b9-8862-4f5247f1a588,"Greenlands Lane, Hendon, Barnet, NW4",Primary
