ResourceID,Monument Type,Evidence,MainBuildingMaterial,CoveringMaterial,Component,Parent_UID,YearFrom,YearTo,DispDate,Period,Note
004e085a-db95-44a5-a728-189884baf0d2,Rabbit Warren,,,,,0,1540,1900,Post Medieval,Post Medieval,
004eaad1-28ea-46c9-b2f9-17be9692e840,Findspot,,,,,0,-2200,-701,,,
0050152a-775f-4ee5-b3dc-470968cb2768,Town House,,,,,0,1066,1539,Medieval,Medieval,
0051156b-0f01-4190-b8d0-cf7e2886d9c6,School,,,,,0,1540,1900,Post Medieval,Post Medieval,
00550c9e-08e1-48d9-b3de-1cd91b197e0e,Fence,,,,,0,-2200,-701,,,
00550c9e-08e1-48d9-b3de-1cd91b197e0e,Fence,,,,,0,-1000,-701,,,
00550c9e-08e1-48d9-b3de-1cd91b197e0e,Post Hole,,,,,0,-2200,-701,,,
00550c9e-08e1-48d9-b3de-1cd91b197e0e,Post Hole,,,,,0,-1000,-701,,,
00554ee5-35c3-48f3-bc80-d35d1f3705aa,Detached House,Extant Building,,,,0,1960,2050,,,
00554ee5-35c3-48f3-bc80-d35d1f3705aa,Vicarage,Extant Building,,,,0,1843,1960,,,
00554ee5-35c3-48f3-bc80-d35d1f3705aa,,,,,Cornice,455157,1848,2050,,,
00554ee5-35c3-48f3-bc80-d35d1f3705aa,,,,,Gable,455157,1848,2050,,,
005736a0-5cfe-4e93-91c2-1fd10e842acb,House,Extant Building,Brick,,,0,1870,2050,,,
005736a0-5cfe-4e93-91c2-1fd10e842acb,,,,,Bracket,494836,1870,2050,,,
005736a0-5cfe-4e93-91c2-1fd10e842acb,,,,,Cornice,494836,1870,2050,,,
005736a0-5cfe-4e93-91c2-1fd10e842acb,,,,,Bay Window,494836,1870,2050,,,
0057a652-3451-45eb-a023-61bf41aa9694,War Memorial,Structure,,,,0,1950,2050,,,
0057a652-3451-45eb-a023-61bf41aa9694,Plaque,Structure,Bronze,,,480168,1950,2050,,,
005a661b-a962-47e8-9572-67afc557cfc4,Marsh,,,,,0,43,409,Roman,Roman,
005a661b-a962-47e8-9572-67afc557cfc4,Peat,,,,,0,43,409,Roman,Roman,
005a81c5-0e6e-4c92-bef5-789ce7450b44,Cremation,,,,,0,43,409,Roman,Roman,
005ad26a-3cff-4115-b80e-6e323707c915,Engineering Works,,,,,0,1540,1900,Post Medieval,Post Medieval,
005b04c8-76c9-45bc-980e-9556485feaf0,Tomb,Extant Structure,,,,0,1761,2050,,,
005b04c8-76c9-45bc-980e-9556485feaf0,Chest Tomb,Extant Structure,Brick,,,481909,1761,2050,,,
005b04c8-76c9-45bc-980e-9556485feaf0,,Extant Structure,Portland Stone,,,,,,,,
005b51f4-e6c8-44be-b8ea-914de285ef95,Road,,,,,0,43,409,Roman,Roman,
005bfc30-20b8-49de-a5f2-482492169e80,Tannery,,,,,0,1540,1900,Post Medieval,Post Medieval,
005c5100-d9c7-433f-ae63-41d2f03f2f80,Quarry,,,,,0,43,409,Roman,Roman,
005c58dd-e3e8-48de-aad4-41e615a5b84f,Cremation,,,,,0,43,409,Roman,Roman,
005ea35e-f950-4180-9617-6e4a9bac016e,Wall,Extant Structure,,,,0,1833,2050,,,
005ea35e-f950-4180-9617-6e4a9bac016e,Railings,Extant Structure,Cast Iron,,,430005,1833,2050,,,
005fe3f2-27fc-4493-bd37-fee613024be5,Chest Tomb,,,,,0,1800,1840,,,
00608924-4b9f-4c9a-b088-0dc204b62bdb,Findspot,,,,,0,43,409,Roman,Roman,
0061cc09-010b-4bfb-85ff-6ee845c53c0c,Findspot,,,,,0,-4000,-2201,,,
006223a5-15d4-4e27-9bbe-0ac972b30e66,Bridge,,,,,0,1066,1539,Medieval,Medieval,
006223a5-15d4-4e27-9bbe-0ac972b30e66,Building,,,,,0,1066,1539,Medieval,Medieval,
0064c37c-7951-405c-b279-f91eb9cea529,Terraced House,Extant Building,,,,0,1866,2050,,,
0064c37c-7951-405c-b279-f91eb9cea529,,,,,String Course,479427,1866,2050,,,
0064c37c-7951-405c-b279-f91eb9cea529,,,,,Sash Window,479427,1866,2050,,,
0064c37c-7951-405c-b279-f91eb9cea529,,,,,Hipped Roof,479427,1866,2050,,,
0064c37c-7951-405c-b279-f91eb9cea529,,,,,Fanlight,479427,1866,2050,,,
0064c37c-7951-405c-b279-f91eb9cea529,,,,,Eave,479427,1866,2050,,,
00673a14-7db9-4f33-98d5-aabd8c18ba8a,Revetment,,,,,0,1700,1799,,,
00673a14-7db9-4f33-98d5-aabd8c18ba8a,Railings,,,,,0,1800,1899,,,
00673a14-7db9-4f33-98d5-aabd8c18ba8a,Wall,,,,,0,1700,1799,,,
00675f34-1b55-4741-8655-27ba364d6c79,Well,,,,,0,1540,1900,Post Medieval,Post Medieval,
00677a05-2633-401e-8449-f7751b748005,Findspot,,,,,0,-500000,42,,,
00677a05-2633-401e-8449-f7751b748005,Findspot,,,,,0,-500000,42,,,
0068c181-2637-4b52-a3a9-fddc369e9b69,Road,Documentary Evidence,,,,0,1066,2050,,"Medieval,Post Medieval,20th Century",
006ca11c-dcc8-4ed2-803f-365621c33372,Findspot,,,,,0,43,409,Roman,Roman,
006d3c28-662d-4c3d-b706-c268ed37fd69,Findspot,,,,,0,-500000,-10001,,,
006d3c28-662d-4c3d-b706-c268ed37fd69,Findspot,,,,,0,-500000,-150001,,,
006df2c0-2379-44ab-aa21-796123c84abf,House,Extant Building,Brick,Tile,,0,1892,2050,,,
006df2c0-2379-44ab-aa21-796123c84abf,,Extant Building,Stone,,,,,,,,
006df2c0-2379-44ab-aa21-796123c84abf,Artists Studio,Extant Building,Brick,Tile,,0,1892,1900,,,
006df2c0-2379-44ab-aa21-796123c84abf,,Extant Building,Stone,,,,,,,,
006e6fc7-59d9-4c54-b948-2d0239c3d220,Findspot,,,,,0,1066,1539,Medieval,Medieval,
006f008c-b316-4b55-a424-64453a6832b0,Town Wall,,,,,0,1066,1539,Medieval,Medieval,
006f008c-b316-4b55-a424-64453a6832b0,Town Wall,,,,,0,43,409,Roman,Roman,
00743e76-038f-47f9-8d57-996d8a6c303c,Town Defences,,,,,0,1066,1539,Medieval,Medieval,
00743e76-038f-47f9-8d57-996d8a6c303c,Ditch,,,,,0,1066,1539,Medieval,Medieval,
0076ff65-f8f4-40c0-88d4-5ad32cd384e2,Findspot,Find,,,,0,-4000,-2201,,,
00774b4a-ed96-4675-a07a-7c8fc183b3fe,Outbuilding,,,,,0,1540,1900,Post Medieval,Post Medieval,
007761b8-cd34-4dbb-aa4d-57a2cbe30bfc,Pit,,,,,0,-2200,-701,,,
007761b8-cd34-4dbb-aa4d-57a2cbe30bfc,Cremation Cemetery,,,,,0,-2200,-701,,,
007761b8-cd34-4dbb-aa4d-57a2cbe30bfc,Quarry,,,,,0,-1000,-701,,,
007761b8-cd34-4dbb-aa4d-57a2cbe30bfc,Ditch,Excavated Feature,,,,0,-2200,-701,,,
007761b8-cd34-4dbb-aa4d-57a2cbe30bfc,Ditched Enclosure,,,,,0,-2200,-701,,,
007761b8-cd34-4dbb-aa4d-57a2cbe30bfc,Deposit Unclassified,Sub Surface Deposit,,,,0,-1000,-701,,,
0078d495-f782-48d6-9446-200d8145be3d,Terraced House,,Brick,Slate,,0,1733,2050,,,
0078d495-f782-48d6-9446-200d8145be3d,,,Cannot Retrieve Field From Null,Stucco,,,,,,,
0078d495-f782-48d6-9446-200d8145be3d,,,,,Arch Brick,421812,1701,2050,,,
0078d495-f782-48d6-9446-200d8145be3d,,,,,Doric Column,421812,1701,2050,,,
0078d495-f782-48d6-9446-200d8145be3d,,,,,Fanlight,421812,1701,2050,,,
0078d495-f782-48d6-9446-200d8145be3d,,,,,Porch,421812,1701,2050,,,
007ca10f-b517-4a0a-81c9-aa133b6f1959,House,Extant Building,Brick,Tile,,0,1700,1799,Built c.1700-1799,Post Medieval,
007dc40a-843f-48df-baef-d1cabbf8e77d,Detached House,Extant Building,Brick,Tile,,0,1936,2050,Built c.1936-1956,Victorian,
007dc40a-843f-48df-baef-d1cabbf8e77d,,,,,Casement Window,494476,1936,2050,,,
007dc40a-843f-48df-baef-d1cabbf8e77d,Surgery,,,,,494476,1936,1972,,,
007dc40a-843f-48df-baef-d1cabbf8e77d,Clinic,,,,,494476,2006,2050,,,
00809517-d427-464d-97ca-f79afe95f795,Findspot,Find,,,,0,1629,1649,Abandoned,,
0080cc12-3f95-442b-9b2a-7ff824547f8c,Bungalow,Extant Building,,,,0,1930,2050,,,
0080cc12-3f95-442b-9b2a-7ff824547f8c,,,,,Porch,481023,1930,2050,,,
0081892a-96a7-461b-957f-68dc1ef20b42,Railway Platform,Extant Building,,,,0,1849,2050,Altered 19th & 20th centuries,,
00823403-b668-465c-8acf-fd70a1f44cf3,House,Documentary Evidence,,,,0,1719,1932,,,
00823403-b668-465c-8acf-fd70a1f44cf3,Estate,Documentary Evidence,,,,0,1601,1932,,,
00823403-b668-465c-8acf-fd70a1f44cf3,Garden,Documentary Evidence,,,,0,1601,1768,,,
00823403-b668-465c-8acf-fd70a1f44cf3,Park,Botanical Feature,,,,0,1770,2050,,,
00823403-b668-465c-8acf-fd70a1f44cf3,Walled Garden,Extant Structure,,,,0,1601,2050,,,
00835a27-2b50-4afd-a9c0-e9bf29cd6702,Barn,,,,,0,1485,1603,Tudor,Tudor,
00835a27-2b50-4afd-a9c0-e9bf29cd6702,Barn,,,,,0,1540,1900,Post Medieval,Post Medieval,
0083e355-f35e-4a8d-96da-5198d5e33829,Distillery,Demolished Building,,,,0,1540,1900,Constructed,,
008500e7-8052-4d3a-b292-acab432a7e33,Road,,,,,0,1066,1539,Medieval,Medieval,
008500e7-8052-4d3a-b292-acab432a7e33,Road,,,,,0,1540,1900,Post Medieval,Post Medieval,
0085dee3-596e-4822-8da2-88df4ad36f57,Deposit Unclassified,,,,,0,43,409,Roman,Roman,
0086904a-5af9-479d-9ba5-bdd7365f4bec,House,,,,,0,1800,,,,
0086904a-5af9-479d-9ba5-bdd7365f4bec,Railings,,,,,0,1767,1799,,,
0086904a-5af9-479d-9ba5-bdd7365f4bec,Terraced House,,,,,0,1767,1799,,,
0086f8eb-1db8-49b5-b72b-2509b7b0ba54,Burial,,,,,0,43,409,Roman,Roman,
0086f8eb-1db8-49b5-b72b-2509b7b0ba54,Inhumation,,,,,0,43,409,Roman,Roman,
0086f8eb-1db8-49b5-b72b-2509b7b0ba54,Cemetery,,,,,0,43,409,Roman,Roman,
0088c565-63a5-4660-bb38-6d6fcc9fe5d8,Pit,,,,,0,1540,1900,Post Medieval,Post Medieval,
0088c565-63a5-4660-bb38-6d6fcc9fe5d8,Wall,,,,,0,1540,1900,Post Medieval,Post Medieval,
0089227f-7009-4a87-a5d9-cc93ca133397,Findspot,,,,,0,-3000,-1501,,,
008a972c-951d-4377-8b19-1ccde99d98e9,Watermill,,,,,0,1066,1539,Medieval,Medieval,
008bb27e-3b8c-440b-b7c9-588b461f460b,Cemetery Chapel,Extant Building,Brick,Portland Stone,,72036,1937,2050,,,
008bb27e-3b8c-440b-b7c9-588b461f460b,Cemetery Chapel,Extant Building,Brick,Portland Stone,,72036,1937,2050,,,
008bb27e-3b8c-440b-b7c9-588b461f460b,,,,,Stained Glass,488450,1937,2050,,,
008bb27e-3b8c-440b-b7c9-588b461f460b,,,,,Stained Glass,488449,1937,2050,,,
008bb27e-3b8c-440b-b7c9-588b461f460b,,,,,Porte Cochere,488449,1937,2050,,,
008bb27e-3b8c-440b-b7c9-588b461f460b,Columbarium,Extant Building,,,,72036,1942,2050,,,
008bb27e-3b8c-440b-b7c9-588b461f460b,Cemetery,Designed Landscape,,,,0,1917,2050,,,
008c6249-be83-40e0-94f8-b7fe721bc07f,Church,,,,,0,1827,1829,,,
008f08d6-01ec-4645-b3f6-fcd7949b7d61,Council Housing Estate,,Brick,,,0,1939,2050,,,
008f08d6-01ec-4645-b3f6-fcd7949b7d61,Sports Ground,Documentary Evidence,,,,0,1908,,,,Area laid out for London Olympics in 1908
008f08d6-01ec-4645-b3f6-fcd7949b7d61,Exhibition Pavilion,Documentary Evidence,,,,0,1908,1937,,,"White City Exhibition Grounds included numerous pavilions as well as landscaped garden areas. Public exhibitions were held between 1908 and 1914, with trade fairs held in 1921-29 and again post World War II until 1937."
