ResourceID,Location Description,Location Description Type
1d7153d4-eebf-4dd5-a7a2-c5819b5b8d5f,"Skidhill Lane, New Addington, Croydon",Alternative
1d8f0d20-59da-4c02-b18b-78703c0aaeab,"Rectory Lane, Sidcup, Bexley, DA14",Alternative
1d993366-f8d6-4539-82ae-5a251a64271a,"Tower Bridge Road, Southwark, SE1",Alternative
1d993366-f8d6-4539-82ae-5a251a64271a,"Grange Walk, Southwark, SE1",Alternative
1de05e02-727c-4e7e-ac51-edf64ef40c94,"Valley Road, Streatham",Alternative
1e7e36f4-4bf3-40d5-be84-d63f0d7e1dba,"Campden Hill Gardens, Kensington, Kensington and Chelsea",Alternative
1e7e36f4-4bf3-40d5-be84-d63f0d7e1dba,"Sheldrake Place, Kensington, Kensington and Chelsea",Alternative
1e7e36f4-4bf3-40d5-be84-d63f0d7e1dba,"Duchess of Bedford's Walk, Kensington, Kensington and Chelsea",Alternative
1e7e36f4-4bf3-40d5-be84-d63f0d7e1dba,"Campden Hill Square, Kensington, Kensington and Chelsea",Alternative
1e7e36f4-4bf3-40d5-be84-d63f0d7e1dba,"Campden Hill, Kensington, Kensington and Chelsea",Alternative
1e7e36f4-4bf3-40d5-be84-d63f0d7e1dba,"Aubrey Walk, Kensington, Kensington and Chelsea",Alternative
1e7e36f4-4bf3-40d5-be84-d63f0d7e1dba,"Aubrey Road, Kensington, Kensington and Chelsea",Alternative
1e9ea6bb-913a-4d67-b52d-48b9530b28e3,"Little Britain, City of London, EC1",Alternative
1f236c97-cda4-49fe-b559-64bb522ae8cd,"Broadway, Barking, Barking & Dagenham",Alternative
1f272f58-1b42-4077-b088-a0fc544b6ac7,"Wanstead Flats, Manor Park, Redbridge, E12",Alternative
1fb7bb8d-83a0-45b4-bc40-4d1f0434aac1,"St Margaret Street, SW1",Alternative
206a97af-6ce0-4816-aea5-4befbcf5fe66,"Blackfriars Lane, EC4",Alternative
2121d373-866c-4b75-a47f-3df2482dc0e2,"Amelia Road, Newington, Southwak",Alternative
21748873-8e26-4d5c-bbb0-fd322d40d38e,"Montagu Road, Enfield",Alternative
21aaca92-f728-45f5-9746-002fc689f1f1,"Kensington Road, Romford, Havering",Alternative
21aaca92-f728-45f5-9746-002fc689f1f1,"Knighton Road, Romford, Havering",Alternative
220bc81d-2219-488a-b5d7-cb4036bcd655,"George Row, Bermondsey, Southwark, SE1",Alternative
220bc81d-2219-488a-b5d7-cb4036bcd655,"Bermondsey Wall West, Bermondsey, Southwark, SE1",Alternative
220bc81d-2219-488a-b5d7-cb4036bcd655,"Mill Street, Bermondsey, Southwark, SE1",Alternative
2219b34b-c925-42fb-af8e-4905689f546c,"Ashton Road, Harold Hill, Romford",Alternative
223fc4e1-149d-4d1c-9bf3-04eaac788aa1,"Savage Gardens, City of London, EC3",Alternative
2262ee7c-85f4-4173-b395-de1afbc16acf,"Bermondsey Wall East, Rotherhithe, Southwark",Alternative
226da958-56b1-49b2-b89a-c49b4478c5e5,"Park Lane, Croydon",Alternative
226da958-56b1-49b2-b89a-c49b4478c5e5,"Barclay Road, Croydon",Alternative
23484f8a-1092-4fd4-a21c-3cbf17d9b094,"Falcon Square, City of London, EC2",Alternative
2358a576-e091-4500-943d-53abbe7e0d1a,"Reading Way, Finchley, Barnet",Alternative
2358a576-e091-4500-943d-53abbe7e0d1a,"Lidbury Road, Finchley, Barnet",Alternative
23ec8e57-db7b-4090-877a-6cc39401b1a9,"Denmark Hill, Camberwell, Lambeth, SE5",Alternative
24ec357a-3065-45e1-a91d-983e33dfcc03,"Gonson Street, Greenwich, SE8",Alternative
24ec357a-3065-45e1-a91d-983e33dfcc03,"Albury Street, Greenwich, SE8",Alternative
252c9e19-92fc-4ad6-ac56-dd1d5b627791,"Botwell Lane, Hayes, Hillingdon",Alternative
264ef86d-8dbc-4e31-ac00-2ef2e4aa2efd,"Globe Street, The Borough, Southwark, SE1",Alternative
264ef86d-8dbc-4e31-ac00-2ef2e4aa2efd,"Cole Street, The Borough, Southwark, SE1",Alternative
26769a07-5981-4d6f-83cc-578d9f4815d6,"Platfrom Wharf, Cathay Street, Bermondsey, Southwark, SE16",Alternative
26973c89-1485-4935-a08d-55cd91220bcb,"Tabard Street, Southwark, SE1",Alternative
270db343-841d-4a93-a25b-07f49bbff1c8,"Sanderstead Hill West, Sanderstead, Croydon",Alternative
273869c6-ba22-48ba-81d1-488c16f1f1b6,Carlisle Lane,Alternative
27551a94-45d9-4b0f-babc-f8c85167f1ab,"Manor Road, Crayford, Bexley",Alternative
27a3a874-f684-47d5-9d5d-fad7860634d5,"George Downing Estate, Northwold Road, Stoke Newington, Hackney",Alternative
27a3c8fe-4674-4087-af7c-013119d0620d,"Upper Thames Street, City of London, EC4",Alternative
288a77a9-e1f9-4d90-abfd-09cce0d769a0,Old Paradise Street,Alternative
28c49c90-9bfb-4e90-9f27-e493db5f0deb,Robertson Street,Alternative
28db88aa-0347-49d2-94f9-e9421df88b9e,Ligham Common (possible former name),Alternative
290e4dea-9c38-44fd-80c9-95840a6867e8,"Blair Close, Hayes, Hillingdon",Alternative
29125db5-b22d-4092-8a3b-e22357d91bcf,"Belsize Road, NW6",Alternative
29125db5-b22d-4092-8a3b-e22357d91bcf,"West End Lane, NW6",Alternative
29125db5-b22d-4092-8a3b-e22357d91bcf,"Quex Road, NW6",Alternative
29125db5-b22d-4092-8a3b-e22357d91bcf,"Abbot's Place, NW6",Alternative
29125db5-b22d-4092-8a3b-e22357d91bcf,"Priory Road, NW6",Alternative
29125db5-b22d-4092-8a3b-e22357d91bcf,"Prioiry Terrace, NW6",Alternative
29125db5-b22d-4092-8a3b-e22357d91bcf,"Bransdale Close, NW6",Alternative
29125db5-b22d-4092-8a3b-e22357d91bcf,"Abbey Road, NW6",Alternative
291c5f77-2221-4204-8348-1697223182ac,"Hainault Road, Romford",Alternative
2964bb2c-d7d1-423f-94f9-3942ac493f0b,"Ashmount Road, Tottenham Hale, Haringey, N15",Alternative
2a2f968f-73de-4734-9974-c5a455f57b80,"Stamford Street, Southwark, SE1",Alternative
2a2f968f-73de-4734-9974-c5a455f57b80,"Upper Ground, Southwark, SE1",Alternative
2a71dc6e-733b-461e-9016-f4d52e9f4e71,"Farm Road, Edgware, Barnet, HA8",Alternative
2a7a0b0d-296b-4165-8393-343ddcecc736,"Wandsworth Road, Nine Elms, Wandsworth",Alternative
2a7a0b0d-296b-4165-8393-343ddcecc736,"Nine Elms Lane, Nine Elms, Wandsworth",Alternative
2b592f98-5771-41db-b1fb-7b9f64f6f399,"Grove Street, Lewisham, SE8",Alternative
2b592f98-5771-41db-b1fb-7b9f64f6f399,"Captan Road, Lewisham",Alternative
2b592f98-5771-41db-b1fb-7b9f64f6f399,"Enterprize Way, Lewisham, SE8",Alternative
2bc7ad4d-de2c-4943-a947-ca52f4eb2ca9,"Area 7 Main Ticket Hall (Three-Way Escalator), Joiner Street, Southwark, SE1",Alternative
2bc7ad4d-de2c-4943-a947-ca52f4eb2ca9,"Area 7 Main Ticket Hall (Three-Way Escalator), Tooley Street, Southwark, SE1",Alternative
2c0eebf4-2152-4c8f-8b96-20aecb14ef7d,"The Old Post Office Site, Brook Street, Kingston upon Thames, KT1",Alternative
2c4a2646-6eff-400e-8d50-5f2565dee249,"Mickleham Road, Bromley",Alternative
2c5a1b51-0917-449b-a1d2-db7eb7a41481,"St Thomas' Street (junction of), Southwark, SE1",Alternative
2cf386af-819d-4cfa-9a6e-1d1ec9434dcb,"Porlock Street, Southwark, SE1",Alternative
2d3de794-9ff8-42a0-b557-1d8a503afd08,"Queen Victoria Street, City of London, EC4",Alternative
2e56a513-3300-425d-935f-5c63ace2525b,"Botwell Lane, Hayes, Hillingdon",Alternative
2ec58a09-3b28-4843-ae78-87dd7955ceb3,"Anchor Iron Wharf, Lassell Street",Alternative
2ef07785-ae65-4775-9554-ad4a047db0f9,"Osterley Road, Spring Grove, Hounslow",Alternative
2ef07785-ae65-4775-9554-ad4a047db0f9,"St Mary's Crescent, Osterley, Hounslow",Alternative
2ef07785-ae65-4775-9554-ad4a047db0f9,"Braybourne Drive, Brentford, Hounslow",Alternative
2ef07785-ae65-4775-9554-ad4a047db0f9,"Clayponds Avenue, Brentford, Hounslow",Alternative
